1%/tk1-30/bue1-20
105999
100491
95937
90832
85809
81375
76450
72247
66532
61911
57882
52547
48345
42535
38536
34116
28902
23678
20957
15710
135180
129643
123214
117196
111165
106983
100093
95055
86476
81342
74618
68847
59707
53752
47378
39764
38778
34971
32417
28516
146509
141649
135471
128030
122961
116601
109031
100927
95027
86052
79228
70667
54830
49692
44783
42292
38025
38574
36534
37434
154513
149888
143538
137751
130580
125133
119588
111289
100756
94352
84367
72939
65205
54324
50871
44631
43957
42339
40568
38928
158502
153951
148118
143672
135910
130233
124508
115153
108460
100573
85896
76236
62177
54366
50401
47910
45930
44688
41519
40858
163305
158389
153393
148103
142631
136005
129951
122001
112689
105748
87122
71718
65355
54879
52548
51414
49896
46518
45125
46118
165576
162825
156667
151143
144623
139758
131807
126897
118821
107662
96660
83100
67591
61535
56800
53683
51406
47914
46128
46172
168626
163496
158751
154896
147789
141500
134099
130296
119198
108745
93206
79298
70603
63182
57677
56509
53995
49046
50555
47872
170108
167045
161202
155757
148436
143634
137591
130363
121891
111280
99346
87040
71556
65257
62826
59247
54624
52930
50483
50606
171726
167208
163781
156782
149668
144592
139418
132187
123660
112862
99064
85975
75250
68858
65061
60132
56288
54649
51911
49088
172985
167799
162720
157424
153448
146696
141467
133491
126799
116041
106215
93493
76322
69086
66471
62229
58398
56897
54926
52637
173862
169703
164180
157447
153060
147672
143097
134576
127629
116492
108358
92427
81239
74942
68179
64295
61473
58817
54109
54843
174454
169729
164774
159133
154188
147852
142336
134354
128931
118768
106839
91081
83720
77432
72076
65259
60883
61399
56902
54372
175593
170108
165259
160630
153074
148319
142682
136693
130931
123454
106589
95966
86197
78811
73013
67118
66473
61643
58571
55770
176294
170672
165442
161373
154458
150707
144198
136981
129868
121929
112971
95800
85530
80562
75919
71485
67307
62212
60301
57665
176439
172085
166646
161098
156199
149803
145036
137682
131221
125181
110329
99462
92820
83366
76436
71434
67025
63531
60390
57153
176983
171190
166362
162005
155131
152364
145274
140029
132604
124870
115313
102416
92169
88436
80159
75242
71082
64982
62335
60141
176751
172083
166825
161573
155560
151072
146462
140298
133524
126175
112141
101801
97522
89150
81055
77895
71837
68541
64403
60619
176929
171643
167324
161909
156668
151408
146936
140327
132400
127119
115679
106397
98513
90179
84593
78865
73649
69637
65437
61296
177296
172288
166063
162486
157457
151481
147044
140897
134285
124729
117789
105907
97930
96077
85233
79789
75912
71074
67012
61689
176747
171515
167864
161999
156841
152996
146476
140310
134765
124612
119219
109004
102526
93324
87317
80497
75097
71432
67003
64513
177827
171623
167256
161757
158525
152454
146382
142268
134577
128595
120940
113650
102806
96777
89826
83227
79119
75040
69184
65016
177273
172263
168373
162332
157280
153011
148026
140753
135632
129334
120774
112456
105766
97374
91387
85647
78631
74258
70989
65521
177365
173686
168007
163359
157778
153139
147063
141734
133666
128586
119750
114535
107297
100085
91785
88160
81861
76428
70960
70952
177491
173007
168412
163432
157313
153269
148154
142186
135121
129508
121419
114726
106974
101695
94900
89903
83226
79930
72636
67518
178303
172231
168464
163344
158314
152443
147543
142191
136387
128695
125023
116098
108795
102168
97471
90446
84139
80233
73179
68824
177528
173601
167500
162781
157495
153470
146836
142872
135552
129039
124873
116637
110880
100404
97198
92570
84522
79496
74734
69246
177109
172282
168387
162449
158792
152500
148170
143063
137621
131292
124856
120441
110981
103948
97300
92438
88824
79935
77373
70279
177230
172089
167365
163250
158551
153649
148183
141685
136628
129829
126538
120633
114412
107103
100272
96069
88100
82191
75694
72382
177952
173715
167761
164419
157567
153743
148437
142620
137047
132876
126008
121788
114731
110020
102030
95319
89836
88632
80371
72676
3%/tk1-30/bue1-20
105988
100946
96146
90876
85934
81306
75550
71571
66013
61661
58008
51792
47833
44468
38466
33213
28921
24499
22762
13074
135633
129378
123565
118206
111417
106058
99865
95128
86159
78613
74993
69736
61002
54436
47619
39170
37479
33594
32189
31471
147817
141191
134160
128950
121057
116257
108244
100672
92641
88304
78621
72620
57975
52186
47503
39257
38964
39033
36734
35360
154941
148347
144403
138630
131809
126000
119706
111552
105880
94060
83126
76809
66503
55784
48173
44235
42897
43221
40897
38733
158900
155277
149929
142300
138169
132284
124714
114706
107855
93742
88658
74219
63110
54928
51690
48117
46262
45631
43230
43541
163340
159256
155125
148193
142242
135442
128638
122008
111228
102555
88153
74193
63228
59132
51728
52015
48732
45626
44149
45179
166801
162124
158498
152023
146422
139120
132465
125545
116352
106619
90354
82316
66772
61979
55633
56392
50475
50208
46896
45182
168017
164812
158647
154395
149023
140414
134893
129741
119238
106958
92908
78920
71002
63092
59936
54337
54102
50947
49075
48241
169600
167008
161140
154067
148597
143954
137401
130567
122568
111970
94199
83371
71836
67807
61529
58295
54527
53308
50455
48002
171688
167124
162562
155680
151348
145706
137983
133079
124060
112005
96588
84050
71935
66461
64460
61548
57399
56464
51562
51029
173787
168596
163719
157335
151853
146279
141066
132092
124518
117065
98205
88873
75847
70515
65282
61782
59247
54862
53024
53208
174587
169473
164491
158770
153474
147770
141665
134471
127542
118633
100814
89508
81599
73368
70569
64904
60705
59412
56064
53293
175048
170213
165322
158538
154114
148541
142784
135553
128121
115660
104891
93612
84821
75732
70593
65575
64930
59499
55425
53748
175209
169988
165467
159804
155275
148197
143045
138235
129431
120084
109945
92035
83657
80525
74510
68561
63153
60253
57198
55206
175457
169579
166922
160889
155906
149793
143029
138796
129641
121763
109966
99549
88112
79646
74904
70266
66906
64637
58374
55767
176490
171701
165724
161147
155948
149843
144534
137734
133422
120534
109876
98266
90961
80865
76973
70995
69088
65460
59802
60347
176291
171344
166626
163306
155420
150123
145394
141378
132069
124522
114390
102923
93323
86056
81038
73392
71828
65776
62747
59137
176918
171605
168084
161868
156411
152253
143620
140227
132035
126348
115978
102428
94154
86815
81516
77821
70744
68570
64937
60662
177296
172471
167091
162445
155992
153216
145986
141441
134009
125763
116783
109554
95578
89342
85086
76763
72563
71279
65020
61069
176067
171324
167812
161801
155810
151706
146852
141229
133537
127547
117232
107608
101115
91072
84918
79647
75581
69235
67264
62312
177374
171600
167650
161650
157347
151970
145838
142476
133762
128769
119123
111542
103431
94973
86716
80995
76007
71687
66072
63875
177010
171543
166760
162737
157334
151818
147606
141127
135815
123879
121139
108427
102450
98612
91673
84654
77029
71938
