Token:1,Bad UE:300
96335,60875,42790
Token:2,Bad UE:300
123817,47919,28264
Token:3,Bad UE:300
137063,42195,20742
Token:4,Bad UE:300
145608,38437,15955
Token:5,Bad UE:300
150752,37598,11650
Token:6,Bad UE:300
160019,32496,7485
Token:7,Bad UE:300
167969,31388,643
Token:8,Bad UE:300
167807,31451,742
Token:9,Bad UE:300
167364,31956,680
Token:10,Bad UE:300
167074,32267,659
Token:11,Bad UE:300
167873,31368,759
Token:12,Bad UE:300
167935,31392,673
Token:13,Bad UE:300
167516,31780,704
Token:14,Bad UE:300
168013,31263,724
Token:15,Bad UE:300
167907,31424,669
Token:16,Bad UE:300
167785,31583,632
Token:17,Bad UE:300
167262,31983,755
Token:18,Bad UE:300
168254,31059,687
Token:19,Bad UE:300
166605,32673,722
Token:20,Bad UE:300
167586,31743,671
Token:21,Bad UE:300
168153,31133,714
Token:22,Bad UE:300
167828,31500,672
Token:23,Bad UE:300
168184,31113,703
Token:24,Bad UE:300
168816,30476,708
Token:25,Bad UE:300
167048,32245,707
Token:26,Bad UE:300
168178,31153,669
Token:27,Bad UE:300
167548,31778,674
Token:28,Bad UE:300
167463,31819,718
Token:29,Bad UE:300
167936,31293,771
Token:30,Bad UE:300
168968,30308,724
Token:1,Bad UE:300
96527,61034,42439
Token:2,Bad UE:300
123724,48214,28062
Token:3,Bad UE:300
138319,41739,19942
Token:4,Bad UE:300
144537,39000,16463
Token:5,Bad UE:300
150550,37390,12060
Token:6,Bad UE:300
159483,32838,7679
Token:7,Bad UE:300
167847,31427,726
Token:8,Bad UE:300
168882,30501,617
Token:9,Bad UE:300
168556,30773,671
Token:10,Bad UE:300
168435,30838,727
Token:11,Bad UE:300
167695,31630,675
Token:12,Bad UE:300
168501,30869,630
Token:13,Bad UE:300
167533,31728,739
Token:14,Bad UE:300
168732,30606,662
Token:15,Bad UE:300
168460,30810,730
Token:16,Bad UE:300
167556,31748,696
Token:17,Bad UE:300
167846,31485,669
Token:18,Bad UE:300
167945,31427,628
Token:19,Bad UE:300
167851,31441,708
Token:20,Bad UE:300
168499,30813,688
Token:21,Bad UE:300
168280,31029,691
Token:22,Bad UE:300
167234,32006,760
Token:23,Bad UE:300
167332,31990,678
Token:24,Bad UE:300
168422,30873,705
Token:25,Bad UE:300
168042,31248,710
Token:26,Bad UE:300
167751,31628,621
Token:27,Bad UE:300
168475,30888,637
Token:28,Bad UE:300
168023,31287,690
Token:29,Bad UE:300
168050,31229,721
Token:30,Bad UE:300
167593,31688,719
