41073,61967,50057,50331,,31764,59039,32734,33149,,1,,0.63528,1.18078,0.65468,0.66298
47515,69139,54488,57387,,36135,65632,36492,36003,文獻[7],2,,0.7227,1.31264,0.72984,0.72006
50079,70870,59552,62412,,41446,71452,40804,42373,被動式,3,,0.82892,1.42904,0.81608,0.84746
58110,77234,66111,65145,,45498,71508,46907,46414,主動式,4,,0.90996,1.43016,0.93814,0.92828
60200,80629,69466,71803,,50765,79200,51765,52560,混合式,5,,1.0153,1.584,1.0353,1.0512
67048,87716,73970,73188,,56420,86555,55548,57107,,6,,1.1284,1.7311,1.11096,1.14214
70698,88066,79313,78629,,60304,90550,61356,60335,,7,,1.20608,1.811,1.22712,1.2067
75445,92861,83513,85048,,65151,93241,66582,66011,,8,,1.30302,1.86482,1.33164,1.32022
79639,98061,90854,89611,,70198,98392,70513,73361,,9,,1.40396,1.96784,1.41026,1.46722
85113,104937,92529,94524,,74576,106252,76494,75587,,10,,1.49152,2.12504,1.52988,1.51174
89246,111131,97578,97172,,80576,109820,79549,81715,,11,,1.61152,2.1964,1.59098,1.6343
94182,114192,103532,103461,,85035,112614,84153,85217,,12,,1.7007,2.25228,1.68306,1.70434
100508,117156,109035,106824,,87185,118994,91312,89770,,13,,1.7437,2.37988,1.82624,1.7954
103857,121559,114954,112635,,93727,124105,94336,94602,,14,,1.87454,2.4821,1.88672,1.89204
107478,127041,117953,116977,,98183,128036,97992,99617,,15,,1.96366,2.56072,1.95984,1.99234
112371,131529,124235,122543,,103673,131428,104098,104505,,16,,2.07346,2.62856,2.08196,2.0901
117590,138688,128766,125414,,106885,136765,109017,108617,,17,,2.1377,2.7353,2.18034,2.17234
122114,142573,132795,131079,,110502,141670,112721,114131,,18,,2.21004,2.8334,2.25442,2.28262
128388,146433,135898,135394,,117926,146112,119995,119091,,19,,2.35852,2.92224,2.3999,2.38182
132457,153087,140876,140636,,121494,151612,121512,123100,,20,,2.42988,3.03224,2.43024,2.462
33406,60842,39592,39358,,,,,,,,,,,,
39535,67244,43380,42975,,24244,24115,23771,22885,,1,,0.48488,0.4823,0.47542,0.4577
42754,72925,47867,47966,,28964,28558,29913,27177,,2,,0.57928,0.57116,0.59826,0.54354
50490,77745,53061,53007,,33944,32487,33968,31571,,3,,0.67888,0.64974,0.67936,0.63142
54145,81532,58677,58963,,38617,38111,37606,35690,,4,,0.77234,0.76222,0.75212,0.7138
58266,83730,62298,61871,,44283,43719,44008,41078,,5,,0.88566,0.87438,0.88016,0.82156
62934,92207,68118,66015,,50183,47364,48929,45245,,6,,1.00366,0.94728,0.97858,0.9049
68592,94490,70923,72596,,54002,53142,54281,49741,,7,,1.08004,1.06284,1.08562,0.99482
73786,99172,78224,76745,,58613,57228,56985,56420,,8,,1.17226,1.14456,1.1397,1.1284
78562,104531,81731,82522,,62361,62556,63504,59550,,9,,1.24722,1.25112,1.27008,1.191
82406,106227,86734,86914,,68336,67119,67460,65848,,10,,1.36672,1.34238,1.3492,1.31696
89251,112314,90649,91658,,72963,71649,73459,69336,,11,,1.45926,1.43298,1.46918,1.38672
91170,117179,95848,96413,,77206,77106,77452,74353,,12,,1.54412,1.54212,1.54904,1.48706
97450,122637,99987,100148,,81866,80531,81927,78789,,13,,1.63732,1.61062,1.63854,1.57578
101957,126516,105157,105534,,86218,85963,86956,83498,,14,,1.72436,1.71926,1.73912,1.66996
106534,134501,111773,110211,,91384,90497,91867,87939,,15,,1.82768,1.80994,1.83734,1.75878
111403,138053,114490,115696,,96827,94361,96782,94474,,16,,1.93654,1.88722,1.93564,1.88948
115671,140763,119705,119460,,101224,99376,101413,98742,,17,,2.02448,1.98752,2.02826,1.97484
120132,147395,124182,124615,,106042,104908,107647,103395,,18,,2.12084,2.09816,2.15294,2.0679
125334,153580,128752,130397,,109420,109555,110690,106930,,19,,2.1884,2.1911,2.2138,2.1386
31764,59039,32734,33149,,114108,114288,114642,112850,,20,,2.28216,2.28576,2.29284,2.257
36135,65632,36492,36003,,,,,,,,,,,,
41446,71452,40804,42373,,22489,21674,22772,22255,,1,,0.44978,0.43348,0.45544,0.4451
45498,71508,46907,46414,,28486,28023,27528,26429,,2,,0.56972,0.56046,0.55056,0.52858
