72798,41073,86129
71972,40612,87416
70442,42309,87249
70390,41023,88587
70644,43231,86125
53598,47515,98887
58108,46583,95309
55275,46292,98433
54223,48243,97534
59287,46414,94299
46183,50079,103738
47662,50426,101912
48519,50884,100597
45418,51121,103461
46460,51694,101846
39394,58110,102496
35810,56653,107537
38939,54345,106716
38233,54497,107270
39467,54958,105575
34445,60200,105355
33140,60810,106050
34536,63045,102419
33545,61572,104883
34829,61443,103728
31886,67048,101066
32155,67403,100442
31011,64744,104245
32377,66086,101537
30900,65611,103489
29045,70698,100257
29684,70602,99714
30254,70817,98929
29934,71985,98081
30255,71011,98734
28780,75445,95775
29071,76120,94809
27454,74926,97620
28676,74717,96607
27493,75059,97448
27112,79639,93249
26552,79359,94089
26423,79287,94290
26173,79743,94084
26634,80534,92832
25348,85113,89539
26480,86191,87329
26886,85256,87858
25458,84107,90435
25362,85220,89418
24283,89246,86471
24696,89941,85363
24563,90812,84625
24645,89047,86308
24918,88504,86578
23178,94182,82640
24639,95511,79850
25182,95474,79344
23841,96295,79864
23829,94613,81558
23348,100508,76144
22302,99418,78280
22623,98426,78951
23590,99020,77390
23079,99853,77068
23417,103857,72726
23467,103408,73125
21868,103611,74521
23482,104452,72066
23156,103018,73826
22392,107478,70130
21242,108966,69792
22431,108354,69215
22294,108595,69111
22741,109071,68188
21739,112371,65890
21532,114523,63945
22417,112443,65140
22030,114833,63137
22512,113497,63991
21833,117590,60577
22191,118150,59659
21641,118529,59830
22505,118461,59034
22516,118990,58494
22526,122114,55360
20799,123310,55891
21596,123211,55193
21901,124807,53292
21439,124932,53629
22598,128388,49014
21751,127992,50257
22141,126588,51271
21352,128346,50302
21381,128053,50566
20760,132457,46783
21363,133364,45273
20811,132225,46964
21840,131730,46430
22150,133033,44817
107430,33406,59164
108537,33737,57726
105899,33790,60311
107357,33486,59157
104418,35297,60285
88505,39535,71960
86099,39850,74051
87771,39432,72797
88216,38294,73490
87672,38377,73951
74980,42754,82266
71850,44356,83794
72054,44959,82987
71926,45372,82702
73977,44169,81854
59621,50490,89889
63131,49666,87203
62126,48462,89412
59600,50070,90330
62061,49162,88777
54350,54145,91505
53817,55143,91040
54551,54818,90631
53980,53800,92220
54343,55080,90577
49422,58266,92312
47339,60010,92651
48767,57091,94142
49488,59270,91242
48417,58077,93506
44244,62934,92822
44323,65172,90505
45497,65031,89472
45369,64076,90555
43936,63522,92542
42937,68592,88471
42244,68927,88829
43617,69449,86934
41780,69112,89108
42291,69736,87973
39498,73786,86716
38537,73394,88069
41256,73854,84890
39293,73079,87628
39575,74331,86094
39742,78562,81696
37070,79609,83321
36312,78366,85322
36916,79000,84084
37160,78423,84417
35721,82406,81873
36400,83289,80311
35424,81952,82624
36420,82453,81127
37910,83373,78717
35327,89251,75422
35067,87486,77447
35514,87626,76860
34836,87029,78135
35483,86666,77851
34251,91170,74579
32981,90646,76373
34195,92533,73272
34669,92658,72673
35852,92221,71927
32839,97450,69711
32248,96661,71091
33733,95920,70347
32872,97949,69179
32948,97457,69595
33345,101957,64698
32415,101594,65991
32573,100743,66684
33994,100087,65919
32133,102095,65772
31010,106534,62456
32313,106231,61456
32229,106441,61330
31337,106325,62338
31371,106953,61676
32086,111403,56511
31348,110866,57786
30479,111807,57714
30241,112810,56949
31420,110220,58360
30394,115671,53935
30360,115448,54192
30896,116558,52546
30451,116100,53449
31125,115808,53067
30263,120132,49605
28520,121322,50158
29747,121707,48546
30593,120572,48835
29308,121332,49360
29683,125334,44983
29749,126011,44240
29805,124515,45680
29878,125154,44968
29502,125628,44870
126338,31764,41898
126289,31606,42105
126230,30467,43303
125920,31186,42894
127093,29771,43136
108943,36135,54922
108719,36396,54885
111175,34896,53929
111502,35269,53229
110104,35715,54181
92670,41446,65884
95571,39560,64869
93292,41127,65581
94845,39941,65214
94931,41690,63379
80127,45498,74375
82216,46692,71092
78868,46511,74621
80394,46430,73176
78829,46156,75015
68247,50765,80988
69726,49910,80364
69832,51308,78860
70886,49571,79543
67865,51745,80390
61915,56420,81665
63413,54645,81942
63570,54383,82047
62172,54281,83547
60503,55529,83968
57339,60304,82357
56238,59146,84616
56953,60566,82481
55508,60308,84184
54857,62004,83139
51706,65151,83143
52974,64016,83010
52918,65194,81888
53163,64400,82437
54889,64815,80296
49845,70198,79957
49149,69352,81499
48977,68913,82110
48219,69782,81999
50180,69632,80188
44402,74576,81022
47180,74685,78135
47327,74834,77839
45311,74560,80129
45767,73487,80746
43405,80576,76019
44277,78536,77187
44302,80138,75560
44635,80482,74883
42982,79923,77095
42566,85035,72399
43239,82803,73958
41629,84608,73763
42339,83170,74491
42268,84294,73438
42537,87185,70278
40259,89267,70474
40758,88325,70917
41859,89345,68796
41266,88509,70225
40161,93727,66112
39500,93719,66781
39418,94754,65828
40149,93099,66752
39738,93920,66342
39384,98183,62433
37796,97413,64791
38132,98634,63234
37546,97972,64482
37851,97657,64492
37380,103673,58947
38534,102158,59308
38276,104184,57540
38092,102042,59866
38008,103129,58863
37102,106885,56013
37987,107066,54947
35733,106773,57494
37369,106187,56444
37553,106943,55504
37350,110502,52148
36554,110539,52907
35619,111842,52539
37935,111751,50314
35797,111437,52766
35438,117926,46636
35118,118043,46839
36246,115859,47895
35815,117047,47138
34664,116282,49054
33627,121494,44879
33064,120954,45982
34432,122208,43360
34141,121456,44403
35473,121691,42836
137292,28799,33909
137215,29729,33056
140054,28074,31872
139298,28754,31948
139274,29000,31726
126614,33011,40375
127554,31496,40950
124926,32731,42343
124546,34240,41214
125813,32764,41423
108994,38838,52168
109754,38713,51533
110293,37905,51802
110050,38578,51372
111327,37188,51485
97412,42121,60467
96149,42484,61367
98556,41976,59468
96621,42526,60853
92860,43958,63182
82256,48641,69103
82836,47355,69809
83654,49007,67339
84222,48030,67748
81673,49142,69185
74137,53011,72852
72997,52358,74645
75573,52819,71608
72297,54893,72810
74863,52192,72945
67205,57941,74854
66513,57652,75835
70118,58058,71824
67482,56346,76172
67747,58111,74142
61463,61784,76753
63947,61342,74711
62495,63586,73919
62053,63426,74521
61874,62295,75831
57186,67208,75606
57558,66887,75555
56708,67412,75880
58940,67638,73422
57354,67820,74826
55401,71354,73245
53950,71895,74155
55367,72263,72370
52414,71253,76333
53663,72719,73618
50379,78019,71602
49920,75060,75020
52723,76498,70779
50281,78284,71435
50135,76442,73423
47967,81632,70401
48952,81940,69108
49302,81755,68943
48205,82036,69759
47976,82561,69463
47213,86353,66434
44893,86125,68982
45962,85995,68043
46556,86014,67430
46434,85942,67624
42778,89531,67691
44696,90973,64331
45209,90351,64440
44909,92549,62542
43227,92192,64581
43478,95368,61154
44741,96248,59011
43785,94773,61442
43674,95957,60369
43387,97076,59537
40428,101352,58220
41550,100032,58418
42538,100376,57086
41294,100430,58276
44243,100620,55137
40648,105850,53502
40516,105864,53620
39465,105919,54616
39817,107112,53071
42515,103976,53509
41066,108700,50234
40471,108702,50827
39841,109292,50867
41024,110256,48720
39474,109127,51399
38974,114961,46065
40214,113888,45898
41683,112560,45757
38682,115366,45952
38164,114667,47169
37350,119094,43556
38428,120174,41398
36924,120111,42965
38299,119444,42257
39019,118214,42767
146888,26380,26732
146948,27361,25691
146951,27503,25546
146929,27443,25628
147814,25667,26519
134421,32834,32745
134677,31296,34027
135158,31686,33156
135171,31363,33466
