41073,61967,50057,50331,,,,43030340,44488654,43987645,43459813,
26275,24306,25677,23821,,,,42224824,44432533,42568273,42064943,
23507,22690,22598,22100,,,,41736596,44434234,41848812,41418123,
21628,22225,21961,22055,,,,41383146,44413569,41460641,41137011,
21578,21261,22133,22536,,,,41224840,44383883,41179321,40902147,
22427,21541,20876,21669,,,,,,,,
40612,59935,50114,51362,,,,,,,,
25665,23489,25789,23590,,,,28.68689333,29.65910267,29.32509667,28.97320867,10%
22278,22466,22342,21399,,,,28.14988267,29.62168867,28.37884867,28.04329533,30%
21865,21781,21833,22229,,,,27.82439733,29.62282267,27.899208,27.612082,50%
21892,22106,21590,20793,,,,27.588764,29.609046,27.64042733,27.424674,70%
22000,21909,20980,21416,,,,27.48322667,29.58925533,27.45288067,27.268098,90%
42309,60999,50961,50337,,,,,,,,
23817,24345,25690,24834,,,,,,,,文獻[7]
23282,21943,23431,21098,,,,,,,,被動式
21451,22452,21718,21802,,,,,,,,主動式
22284,22471,21781,21172,,,,,,,,混合式
22179,22367,21940,22232,,,,,,,,
41023,61095,51544,51356,,,,,,,,
26247,23024,25726,24248,,,,,,,,
23150,22549,21854,22802,,,,,,,,
21701,21809,21957,21919,,,,,,,,
21196,21165,20634,22107,,,,,,,,
21510,21618,21671,21624,,,,,,,,
43231,59627,49832,52732,,,,,,,,
25649,23846,25838,24227,,,,,,,,
22532,21807,23623,22170,,,,,,,,
21990,22393,22215,21956,,,,,,,,
21172,21394,21901,21983,,,,,,,,
21644,21594,21559,21540,,,,,,,,
47515,69139,54488,57387,,,,,,,,
29889,28007,30996,27400,,,,,,,,
27768,26288,28388,27211,,,,,,,,
26414,26185,26150,26240,,,,,,,,
26674,26837,27342,26474,,,,,,,,
25969,26555,26967,27465,,,,,,,,
46583,67238,56653,55912,,,,,,,,
30664,28937,29568,28041,,,,,,,,
27371,27181,27643,26204,,,,,,,,
27640,26060,26547,26588,,,,,,,,
27016,26826,27327,27246,,,,,,,,
27129,27363,26269,28267,,,,,,,,
46292,69675,55249,55903,,,,,,,,
30711,28527,30667,28477,,,,,,,,
28266,27521,28438,26649,,,,,,,,
26801,26024,27281,26715,,,,,,,,
26745,27126,27070,27803,,,,,,,,
26720,26233,27274,26324,,,,,,,,
48243,65275,53446,56884,,,,,,,,
30903,27452,30045,28513,,,,,,,,
26970,27306,27349,26404,,,,,,,,
27176,28330,26940,26252,,,,,,,,
26937,26659,27132,26430,,,,,,,,
26615,28510,25844,26665,,,,,,,,
46414,65145,56860,54291,,,,,,,,
30616,28409,30676,28493,,,,,,,,
27275,27383,27014,27268,,,,,,,,
26456,26760,27183,26143,,,,,,,,
26885,26393,26369,27056,,,,,,,,
26744,26524,27711,26754,,,,,,,,
50079,70870,59552,62412,,,,,,,,
35940,33406,35233,32894,,,,,,,,
32490,31359,33331,31306,,,,,,,,
32054,30723,31484,32191,,,,,,,,
31164,30628,31114,31496,,,,,,,,
31229,31557,30647,31354,,,,,,,,
50426,73066,59564,62375,,,,,,,,
34979,33854,35012,32744,,,,,,,,
32574,30221,32408,30942,,,,,,,,
31067,31369,32244,31912,,,,,,,,
31259,31149,31291,30587,,,,,,,,
31512,31990,32136,32926,,,,,,,,
50884,70415,59277,59312,,,,,,,,
35571,33947,35914,34100,,,,,,,,
32800,31151,32303,31100,,,,,,,,
