72798,949,105999,106907
71972,917,105988,107305
70442,964,106858,106902
70390,941,105907,106426
70644,1016,106785,106656
53598,925,100491,101280
58108,961,100946,101514
55275,912,101319,101831
54223,915,101406,102202
59287,924,100003,102164
46183,910,95937,96286
47662,886,96146,95850
48519,871,96291,96671
45418,884,96527,96035
46460,903,95933,96790
39394,832,90832,91806
35810,861,90876,91849
38939,874,91256,92295
38233,847,90742,91580
39467,881,90814,90780
34445,839,85809,86163
33140,874,85934,87073
34536,818,86055,86513
33545,822,86246,87340
34829,835,85210,86896
31886,821,81375,81830
32155,821,81306,81430
31011,783,80654,81327
32377,796,81180,81279
30900,800,80840,81712
29045,745,76450,78260
29684,796,75550,77573
30254,790,76022,77189
29934,763,75915,77615
30255,750,76620,77339
28780,770,72247,70574
29071,780,71571,72012
27454,771,71610,71897
28676,771,70543,71981
27493,714,71774,72181
27112,741,66532,67382
26552,736,66013,68960
26423,684,66738,66806
26173,696,67419,67589
26634,739,65737,66797
25348,656,61911,62219
26480,720,61661,61951
26886,677,62382,62202
25458,667,63061,62548
25362,688,62413,61028
24283,647,57882,57196
24696,659,58008,56831
24563,650,56828,58331
24645,667,57927,57372
24918,675,58444,58721
23178,651,52547,52436
24639,629,51792,53886
25182,601,51768,53864
23841,656,53739,51004
23829,629,52385,52082
23348,633,48345,50520
22302,587,47833,48936
22623,602,49643,47532
23590,592,49630,44817
23079,600,46979,49702
23417,572,42535,43077
23467,589,44468,44800
21868,602,41906,44048
23482,553,42998,43766
23156,570,43873,42690
22392,544,38536,39378
21242,567,38466,40624
22431,543,39996,38705
22294,580,39229,38001
22741,557,38203,38175
21739,554,34116,32515
21532,519,33213,34185
22417,518,33028,34237
22030,563,33740,34815
22512,506,33136,34780
21833,517,28902,32220
22191,513,28921,30170
21641,479,28443,29657
22505,531,30321,28802
22516,512,30296,28846
22526,490,23678,23491
20799,503,24499,26413
21596,507,24456,25223
21901,475,23435,24846
21439,477,21935,25275
22598,464,20957,19530
21751,459,22762,20804
22141,432,21814,23766
21352,453,17613,21491
21381,441,19599,22333
20760,432,15710,16856
21363,415,13074,17169
20811,435,17265,16073
21840,416,14774,17154
22150,419,17233,16626
107430,1806,135180,135008
108537,1793,135633,135814
105899,1764,135247,135820
107357,1824,135379,135582
104418,1850,135984,135812
88505,1735,129643,130196
86099,1749,129378,130000
87771,1736,129526,129340
88216,1742,128650,129369
87672,1760,130391,130225
74980,1695,123214,124143
71850,1671,123565,124611
72054,1646,123929,123482
71926,1693,123378,123549
73977,1668,122651,123483
