72798,949,105999,106907,,,,,,,,1.45596,0.01898,2.11998,2.13814
153373,165584,163305,165708,,,,,,,,3.06746,3.31168,3.2661,3.31416
168461,175741,172985,176348,,,,,,,,3.36922,3.51482,3.4597,3.52696
174828,176458,176439,176464,,,,,,,,3.49656,3.52916,3.52878,3.52928
176851,177512,176747,176163,,,,,,,,3.53702,3.55024,3.53494,3.52326
176542,177343,178303,177108,,,,,,,,3.53084,3.54686,3.56606,3.54216
71972,917,105988,107305,,,,,,,,1.43944,0.01834,2.11976,2.1461
153835,166216,163340,165859,,,,,,,,3.0767,3.32432,3.2668,3.31718
169962,175837,173787,176989,,,,56036704,65021034,62617853,70980595,3.39924,3.51674,3.47574,3.53978
174767,176912,176490,176386,,,,58765930,65104029,65271030,73678562,3.49534,3.53824,3.5298,3.52772
176421,176708,177374,177943,,,,60932712,65150890,66362683,74614047,3.52842,3.53416,3.54748,3.55886
176921,176968,178134,177400,,,,62809950,65218741,67714779,75141591,3.53842,3.53936,3.56268,3.548
70442,964,106858,106902,,,,64294799,65268946,68549957,75606173,1.40884,0.01928,2.13716,2.13804
154956,165500,163239,164774,,,,,,,,3.09912,3.31,3.26478,3.29548
168890,176395,172531,177346,,,,,,,,3.3778,3.5279,3.45062,3.54692
175152,176267,176515,176816,,,,,,,,3.50304,3.52534,3.5303,3.53632
176044,176268,177177,177484,,,[7]J. Xu,10%,,,,3.52088,3.52536,3.54354,3.54968
176704,176503,177254,176467,,,Passive,30%,,,,3.53408,3.53006,3.54508,3.52934
70390,941,105907,106426,,,Active,50%,,,,1.4078,0.01882,2.11814,2.12852
152864,166591,163250,165242,,,Hybrid,70%,,,,3.05728,3.33182,3.265,3.30484
168940,175780,173638,175668,,,,90%,,,,3.3788,3.5156,3.47276,3.51336
174448,176886,176422,176596,,,,,,,,3.48896,3.53772,3.52844,3.53192
177147,177665,178341,176466,,,,,,,,3.54294,3.5533,3.56682,3.52932
177498,177258,177520,177175,,,,,,,,3.54996,3.54516,3.5504,3.5435
70644,1016,106785,106656,,,,,,,,1.41288,0.02032,2.1357,2.13312
153696,165853,162630,165180,,,,,,,,3.07392,3.31706,3.2526,3.3036
169832,176568,172292,176098,,,,,,,,3.39664,3.53136,3.44584,3.52196
174329,176359,175991,176576,,,,,,,,3.48658,3.52718,3.51982,3.53152
176946,177371,177018,176671,,,,,,,,3.53892,3.54742,3.54036,3.53342
177334,177231,177638,177197,,,,,,,,3.54668,3.54462,3.55276,3.54394
53598,925,100491,101280,,,,,,,,1.07196,0.0185,2.00982,2.0256
143104,161880,158389,161949,,,,,,,,2.86208,3.2376,3.16778,3.23898
161563,172060,167799,171146,,,,,,,,3.23126,3.4412,3.35598,3.42292
169300,172403,172085,172422,,,,,,,,3.386,3.44806,3.4417,3.44844
171415,171926,171515,172212,,,,,,,,3.4283,3.43852,3.4303,3.44424
172791,172280,172231,171348,,,,,,,,3.45582,3.4456,3.44462,3.42696
58108,961,100946,101514,,,,,,,,1.16216,0.01922,2.01892,2.03028
143316,160843,159256,161506,,,,,,,,2.86632,3.21686,3.18512,3.23012
162754,171108,168596,172351,,,,,,,,3.25508,3.42216,3.37192,3.44702
167925,172573,171701,172006,,,,,,,,3.3585,3.45146,3.43402,3.44012
170954,172060,171600,171476,,,,,,,,3.41908,3.4412,3.432,3.42952
171589,171480,172973,170520,,,,,,,,3.43178,3.4296,3.45946,3.4104
55275,912,101319,101831,,,,,,,,1.1055,0.01824,2.02638,2.03662
143320,161293,158597,161237,,,,,,,,2.8664,3.22586,3.17194,3.22474
161577,170826,167939,171799,,,,,,,,3.23154,3.41652,3.35878,3.43598
168697,172740,170835,171887,,,,,,,,3.37394,3.4548,3.4167,3.43774
171120,171754,171885,170898,,,,,,,,3.4224,3.43508,3.4377,3.41796
172058,172671,171872,172407,,,,,,,,3.44116,3.45342,3.43744,3.44814
54223,915,101406,102202,,,,,,,,1.08446,0.0183,2.02812,2.04404
142796,162120,158820,161155,,,,,,,,2.85592,3.2424,3.1764,3.2231
163444,171067,169008,171957,,,,,,,,3.26888,3.42134,3.38016,3.43914
168503,170429,171370,172392,,,,,,,,3.37006,3.40858,3.4274,3.44784
171033,172177,171894,172252,,,,,,,,3.42066,3.44354,3.43788,3.44504
172211,170419,173289,172247,,,,,,,,3.44422,3.40838,3.46578,3.44494
59287,924,100003,102164,,,,,,,,1.18574,0.01848,2.00006,2.04328
142839,161375,158682,161170,,,,,,,,2.85678,3.2275,3.17364,3.2234
162414,170887,169540,171288,,,,,,,,3.24828,3.41774,3.3908,3.42576
169272,172041,170900,172424,,,,,,,,3.38544,3.44082,3.418,3.44848
171052,172470,172515,171657,,,,,,,,3.42104,3.4494,3.4503,3.43314
172109,172319,171438,171993,,,,,,,,3.44218,3.44638,3.42876,3.43986
46183,910,95937,96286,,,,,,,,0.92366,0.0182,1.91874,1.92572
131492,156554,153393,156799,,,,,,,,2.62984,3.13108,3.06786,3.13598
154061,167078,162720,167215,,,,,,,,3.08122,3.34156,3.2544,3.3443
162642,168049,166646,166465,,,,,,,,3.25284,3.36098,3.33292,3.3293
166465,168258,167864,167195,,,,,,,,3.3293,3.36516,3.35728,3.3439
167389,167344,168464,167435,,,,,,,,3.34778,3.34688,3.36928,3.3487
47662,886,96146,95850,,,,,,,,0.95324,0.01772,1.92292,1.917
132664,156267,155125,156858,,,,,,,,2.65328,3.12534,3.1025,3.13716
154398,168250,163719,167503,,,,,,,,3.08796,3.365,3.27438,3.35006
163386,167242,165724,166687,,,,,,,,3.26772,3.34484,3.31448,3.33374
166315,167710,167650,168145,,,,,,,,3.3263,3.3542,3.353,3.3629
167231,166965,166974,165935,,,,,,,,3.34462,3.3393,3.33948,3.3187
48519,871,96291,96671,,,,,,,,0.97038,0.01742,1.92582,1.93342
129331,156098,153345,155709,,,,,,,,2.58662,3.12196,3.0669,3.11418
154473,167247,163615,167444,,,,,,,,3.08946,3.34494,3.2723,3.34888
