result-o,result-p,result-a
4149,1288,4007
4170,1247,4042
4030,1164,3853
3872,1347,4062
4176,1302,4066
3985,1143,4177
3410,1179,3701
3325,1269,3554
3334,1235,3459
3215,1237,3644
3632,1235,3537
3378,1210,3652
3656,1227,3616
3581,1231,3657
3849,1190,3355
3356,1288,3268
3661,1271,3619
3352,1185,3421
3474,1268,3700
3222,1206,3658
3676,1238,3287
3641,1150,3453
3568,1201,3594
3567,1257,3596
3386,1211,3489
3493,1321,3696
2963,1216,2925
2945,1179,3092
3219,1256,3108
3205,1216,3233
2891,1237,3203
2842,1213,2984
2809,1280,2925
2972,1280,2836
2724,1178,2958
3236,1265,3100
2884,1238,3037
2813,1237,2958
2766,1290,3187
3088,1239,3015
2805,1172,2968
2839,1211,2855
2981,1377,2914
3031,1234,3056
3099,1245,3244
2651,1186,2773
2550,1243,2577
2802,1127,2638
2710,1160,2604
2693,1154,2523
2550,1211,2832
2502,1049,2571
2932,1140,2312
2515,1049,2710
2922,1085,2570
2708,1135,2727
2554,1108,2669
2607,1143,2576
2717,1062,2467
2373,1197,2783
2394,1054,2811
2595,1097,2466
3000,1066,2531
2667,1115,2771
2636,1029,2600
2609,1186,2751
2186,1097,2348
2171,1162,2389
2312,1119,2118
2183,1041,2220
2302,1102,2235
2300,1093,2208
2138,1129,2100
2167,1169,2291
2410,1090,2157
2059,1206,2602
2219,1067,2306
2357,1114,2394
2342,1222,2355
2339,1151,2169
2155,1203,2518
2332,1156,2427
2105,1134,2312
2319,1152,2253
2451,1157,2490
2282,1087,2212
2016,1115,1848
1968,1127,2212
1982,1131,2039
2006,1173,1957
1932,1052,1875
1966,1096,1998
1987,1078,1841
1959,1108,1965
2004,1123,2167
2020,1163,2054
1845,1114,1837
1787,1111,2045
1791,1135,2027
1928,1202,1863
1991,1039,2087
1920,1130,2077
1784,1045,1823
1873,1156,1921
2043,1134,1995
1886,1152,2051
1686,1063,1732
1902,1155,1760
1772,1119,1855
2005,1160,2055
1729,1177,1851
1597,1119,1806
1953,1163,1767
1810,1122,1774
1670,1075,1731
1728,1179,1601
1782,1142,1723
1667,1118,1804
1777,1099,1688
1552,1158,1834
1725,1175,1688
1779,1184,1709
1716,1111,1693
1784,1218,1650
1813,1130,1779
1764,1203,1710
1518,1145,1503
1507,1179,1490
1616,1100,1445
1586,1070,1391
1537,1119,1504
1550,1091,1529
1616,1122,1451
1458,1196,1579
1776,1140,1675
1642,1080,1566
1602,1066,1440
1436,1103,1516
1543,1112,1715
1370,1099,1482
1402,1094,1369
1583,1160,1554
1467,1101,1544
1562,1061,1488
1521,1016,1561
1520,1075,1682
1466,1100,1284
1388,1168,1414
1256,1108,1398
1339,1122,1340
1467,1006,1454
1394,1141,1491
1369,1115,1395
1478,1076,1345
1237,1102,1220
1378,1062,1385
1328,1069,1357
1366,1071,1394
1398,1145,1453
1393,1096,1410
1279,1079,1490
1342,1079,1306
1377,1094,1328
1337,1085,1358
1344,1028,1475
1528,1098,1302
1150,1086,1251
1186,1047,1089
1356,1088,1257
1225,1167,1200
1177,1150,1293
1299,1054,1242
1325,1119,1167
1299,1052,1178
1266,1083,1303
1219,1032,1195
1477,1065,1206
1410,1171,1221
1303,1107,1289
1143,1139,1248
1218,1069,1244
1329,1067,1116
1196,1091,1241
1224,1098,1180
1309,1061,1296
1382,1044,1146
1241,1078,1177
1013,946,1108
1064,1030,1324
1222,1116,1139
1130,1075,1064
1087,1079,1027
1055,1037,1023
1323,1126,1035
1054,1062,1181
1253,1082,1215
1174,1042,1172
1177,1057,1245
1097,1113,1156
1096,1070,1238
1188,1114,1118
1090,1057,1207
1164,1161,1136
1097,1177,1135
1211,1146,1160
1218,1124,1093
1139,1022,1057
885,971,917
1010,1203,1003
1039,1097,1057
1091,1054,1047
1009,1052,1051
1128,1157,1030
1097,1120,1089
997,1060,1038
1028,1185,1119
1008,1087,1032
1099,1061,887
1075,1065,1053
950,1017,1107
1136,1046,1046
903,1145,1045
1001,1070,1066
1148,1085,1031
1045,1032,1144
965,996,1069
928,1115,1030
975,984,960
900,1063,974
908,1088,944
1078,1099,884
1035,1144,959
1039,1005,955
1002,1085,959
910,1027,1065
956,1074,1033
1031,1073,935
922,1018,1011
1009,1053,946
931,1158,942
1044,1100,1009
1036,1089,924
980,1110,953
883,1028,1012
873,1069,998
967,1091,892
