Token:1,Bad UE:300
97908,61002,41090
Token:2,Bad UE:300
123534,47657,28809
Token:3,Bad UE:300
137537,41868,20595
Token:4,Bad UE:300
145250,38769,15981
Token:5,Bad UE:300
150016,37323,12661
Token:6,Bad UE:300
159982,32178,7840
Token:7,Bad UE:300
168099,31139,762
Token:8,Bad UE:300
167681,31669,650
Token:9,Bad UE:300
167270,32025,705
Token:10,Bad UE:300
168347,31037,616
Token:11,Bad UE:300
166989,32262,749
Token:12,Bad UE:300
167983,31320,697
Token:13,Bad UE:300
167160,32074,766
Token:14,Bad UE:300
168252,30978,770
Token:15,Bad UE:300
168061,31298,641
Token:16,Bad UE:300
167689,31639,672
Token:17,Bad UE:300
168437,30889,674
Token:18,Bad UE:300
167728,31564,708
Token:19,Bad UE:300
167577,31700,723
Token:20,Bad UE:300
168196,31159,645
Token:21,Bad UE:300
168261,31126,613
Token:22,Bad UE:300
168294,31049,657
Token:23,Bad UE:300
167788,31493,719
Token:24,Bad UE:300
168513,30762,725
Token:25,Bad UE:300
168227,31076,697
Token:26,Bad UE:300
167774,31606,620
Token:27,Bad UE:300
167826,31523,651
Token:28,Bad UE:300
167451,31858,691
Token:29,Bad UE:300
168634,30716,650
Token:30,Bad UE:300
168956,30361,683
Token:1,Bad UE:300
96167,61419,42414
Token:2,Bad UE:300
124178,47955,27867
Token:3,Bad UE:300
136096,44282,19622
Token:4,Bad UE:300
144955,39925,15120
Token:5,Bad UE:300
150398,37636,11966
Token:6,Bad UE:300
159695,32495,7810
Token:7,Bad UE:300
168869,30421,710
Token:8,Bad UE:300
167548,31705,747
Token:9,Bad UE:300
167606,31662,732
Token:10,Bad UE:300
168652,30670,678
Token:11,Bad UE:300
168789,30499,712
Token:12,Bad UE:300
167852,31455,693
Token:13,Bad UE:300
167970,31355,675
Token:14,Bad UE:300
167370,31889,741
Token:15,Bad UE:300
167958,31305,737
Token:16,Bad UE:300
168629,30656,715
Token:17,Bad UE:300
167513,31750,737
Token:18,Bad UE:300
167450,31995,555
Token:19,Bad UE:300
168308,31028,664
Token:20,Bad UE:300
167946,31369,685
Token:21,Bad UE:300
167828,31471,701
Token:22,Bad UE:300
168724,30532,744
Token:23,Bad UE:300
168316,30925,759
Token:24,Bad UE:300
168191,31083,726
Token:25,Bad UE:300
167856,31488,656
Token:26,Bad UE:300
168143,31170,687
Token:27,Bad UE:300
168513,30827,660
Token:28,Bad UE:300
168487,30829,684
Token:29,Bad UE:300
168210,31076,714
Token:30,Bad UE:300
168302,31022,676
