72798,949,105999,106907,,,72798,949,105999,106907,1,,,1.45596,0.01898,2.11998,2.13814
107430,1806,135180,135008,,,107430,1806,135180,135008,2,,,2.1486,0.03612,2.7036,2.70016
126338,2651,146509,148557,,,126338,2651,146509,148557,3,,,2.52676,0.05302,2.93018,2.97114
137292,3526,154513,156169,,,137292,3526,154513,156169,4,,,2.74584,0.07052,3.09026,3.12338
146888,4239,158502,162034,,,146888,4239,158502,162034,5,,,2.93776,0.08478,3.17004,3.24068
153373,165584,163305,165708,,,153373,165584,163305,165708,6,,,3.06746,3.31168,3.2661,3.31416
157912,166491,165576,177334,,,157912,166491,165576,177334,7,,,3.15824,3.32982,3.31152,3.54668
162350,165743,168626,175423,,,162350,165743,168626,175423,8,,,3.247,3.31486,3.37252,3.50846
166214,165823,170108,176289,,,166214,165823,170108,176289,9,,,3.32428,3.31646,3.40216,3.52578
166245,165593,171726,176746,,,166245,165593,171726,176746,10,,,3.3249,3.31186,3.43452,3.53492
168461,175741,172985,176348,,,168461,175741,172985,176348,11,,,3.36922,3.51482,3.4597,3.52696
170412,176307,173862,176484,,,170412,176307,173862,176484,12,,,3.40824,3.52614,3.47724,3.52968
171505,176738,174454,176119,,,171505,176738,174454,176119,13,,,3.4301,3.53476,3.48908,3.52238
172445,176756,175593,177249,,,172445,176756,175593,177249,14,,,3.4489,3.53512,3.51186,3.54498
173662,175440,176294,175953,,,173662,175440,176294,175953,15,,,3.47324,3.5088,3.52588,3.51906
174828,176458,176439,176464,,,174828,176458,176439,176464,16,,,3.49656,3.52916,3.52878,3.52928
173818,175982,176983,177647,,,173818,175982,176983,177647,17,,,3.47636,3.51964,3.53966,3.55294
175360,176317,176751,176399,,,175360,176317,176751,176399,18,,,3.5072,3.52634,3.53502,3.52798
175886,176644,176929,177164,,,175886,176644,176929,177164,19,,,3.51772,3.53288,3.53858,3.54328
176476,177291,177296,177116,,,176476,177291,177296,177116,20,,,3.52952,3.54582,3.54592,3.54232
176851,177512,176747,176163,,,176851,177512,176747,176163,21,[7]J. Xu,,3.53702,3.55024,3.53494,3.52326
175941,176428,177827,177026,,,175941,176428,177827,177026,22,Passive,,3.51882,3.52856,3.55654,3.54052
176386,176554,177273,175980,,,176386,176554,177273,175980,23,Active,,3.52772,3.53108,3.54546,3.5196
176803,176576,177365,176930,,,176803,176576,177365,176930,24,Hybrid,,3.53606,3.53152,3.5473,3.5386
177131,176334,177491,177519,,,177131,176334,177491,177519,25,,,3.54262,3.52668,3.54982,3.55038
176542,177343,178303,177108,,,176542,177343,178303,177108,26,,,3.53084,3.54686,3.56606,3.54216
176648,177064,177528,177303,,,176648,177064,177528,177303,27,,,3.53296,3.54128,3.55056,3.54606
178328,176801,177109,177319,,,178328,176801,177109,177319,28,,,3.56656,3.53602,3.54218,3.54638
178397,176259,177230,177471,,,178397,176259,177230,177471,29,,,3.56794,3.52518,3.5446,3.54942
176876,177252,177952,178119,,,176876,177252,177952,178119,30,,,3.53752,3.54504,3.55904,3.56238
71972,917,105988,107305,,,,,,,,,,,,,
108537,1793,135633,135814,,,31886,821,81375,81830,1,,,0.63772,0.01642,1.6275,1.6366
126289,2666,147817,147701,,,49422,1547,106983,105147,2,,,0.98844,0.03094,2.13966,2.10294
