org,psv,actv,opt
151376,156846,162324,167269
153940,166822,163528,167487
155552,166464,163338,167164
158277,166085,165189,167716
160601,167348,164752,167311
160460,166566,165452,167338
163485,167162,164671,167617
163002,167416,165694,166682
163535,167018,167514,168147
164477,167506,166377,167805
165473,167902,167968,167858
165923,168392,168067,168280
166779,167887,166729,167504
166343,167312,166624,167446
166758,167136,167877,166760
167244,166882,167144,167162
166763,166814,167424,167637
168121,167810,167453,166772
167381,167835,167355,168152
167569,166901,168283,167164
167679,166590,168280,167837
46275,868,96627,96709
73004,1675,121947,122599
95944,2491,135622,138281
110742,3275,144007,144875
121831,3891,148784,151691
130751,157528,152898,156672
140784,157815,156763,165348
142714,156620,159740,166840
148225,155828,160273,167399
151649,155834,162632,166177
154478,167784,163816,166561
157162,167487,164664,166909
158995,166882,165076,167503
160469,168214,166182,166251
162069,166047,165763,167718
163817,167022,166444,167685
164000,167924,166243,167487
164102,166946,167472,167971
163898,167657,166436,166404
165897,167402,166493,167074
166115,167357,167412,167873
167236,166759,167066,166889
167786,168271,168007,166534
167794,167942,168072,168103
166571,167804,166994,167143
167008,167831,166676,167520
168323,168003,167394,168354
166966,168491,168671,167845
168453,168129,167481,167721
166478,167108,167902,166837
44484,913,96407,97654
73785,1687,123729,124196
94032,2483,135023,136218
111535,3291,144773,146738
124582,3912,149077,150849
130809,157052,154058,157326
136908,156305,157455,165352
142569,156390,159282,166332
149205,156603,161414,167774
153951,156579,162788,166162
156150,167757,162507,167522
158418,166505,164217,166579
159614,167118,164286,166886
159437,166436,165911,167625
160991,166349,165283,167626
163708,166742,166791,167230
164885,167664,168453,167526
165180,167163,166586,167730
164213,167709,167704,168514
166041,166884,167546,167206
164589,167903,166389,166449
166735,167247,167735,168069
166094,167218,167561,167284
166116,167354,167611,167953
167328,168006,168492,167883
167249,168007,167207,166233
166457,167105,167171,168040
167587,167865,166666,167839
167479,166160,168758,167266
167683,167351,168009,168073
45078,888,96062,96104
71332,1709,124689,122977
97619,2535,136141,136289
110089,3243,145316,145844
124581,3923,149192,151220
131698,156483,154318,155869
139110,156003,157755,165864
143034,156259,159348,166805
147749,157834,161466,166679
150478,157819,162169,167108
154817,167203,163231,167283
157416,166689,164015,166894
158597,167094,164992,166535
160342,167314,166470,167312
162195,166959,165175,168038
162362,167370,166310,167649
164006,168159,166425,166214
163793,167600,166682,167641
163613,166738,168296,167586
165048,166923,165716,168010
165070,167504,167481,167745
166390,168127,167413,167081
166950,167799,168233,167361
165902,167913,167385,167616
167014,167838,167114,166476
166684,166751,168355,167162
166787,167012,167775,168559
166248,167152,167357,167255
167732,167040,167853,168382
168665,167916,168350,167401
47138,893,96456,97087
73722,1656,123924,125238
94159,2514,134329,136920
110603,3295,144885,144674
121631,3969,148307,150352
132464,156075,153970,157303
138040,156160,157076,167350
145159,156863,160546,167506
147358,157445,160082,167238
151813,157229,162147,166430
154765,167318,163347,166974
157313,167071,163937,167496
158115,166879,164106,167471
160740,166640,164787,167707
162598,168201,165947,166904
163110,167552,166186,167330
164739,168040,166200,167374
164160,167244,167826,167202
164037,167690,167593,168011
165618,167162,166011,167238
164947,167148,167212,167398
166139,167229,166902,167915
166485,167044,167752,167581
165693,168210,168225,166988
166935,167188,167623,166864
168561,167988,167957,168147
167036,167375,167858,168091
167980,167928,167915,168029
167585,168072,168219,167509
168638,167941,168354,166522
43354,881,95422,97258
72488,1719,124259,124361
95059,2491,135982,137455
110051,3264,143976,145203
122027,3992,148881,151292
131481,157294,152797,156273
138555,156405,157804,166438
146003,156497,159414,166623
148078,157180,160117,167335
151418,157436,162897,167316
156063,166332,163897,166693
156689,167146,163954,167885
157914,166140,163748,167693
160910,167679,165573,167663
160665,167658,166455,166726
162401,166988,166185,167379
163955,167066,167429,168116
164821,167547,166546,165961
165191,167601,166790,167037
165782,167515,167130,166637
166367,167262,167537,166810
167077,167353,167971,167148
166939,166805,168083,166372
166804,167277,167854,166990
166003,168010,168160,167615
168054,168430,168724,167642
167845,168309,168683,166952
166886,167387,167835,167161
167254,167602,167832,169426
168558,167711,168016,167667
46006,905,96529,97264
76109,1712,123099,124252
95055,2469,134597,137410
107152,3333,143771,144799
121439,3893,149453,151660
133017,155840,153329,155694
139305,156479,156444,167081
142186,157094,159575,166535
147250,156656,161747,166767
153084,156570,161578,167716
154671,167457,162247,167243
157100,168313,164953,167262
159149,166619,164981,167273
160330,166849,165668,168140
161033,167335,167093,166851
163290,167415,166485,166724
162790,167188,167053,168154
163647,167791,168004,167102
163819,167502,168239,167395
166314,167960,167208,165993
166510,168296,166618,167857
166800,167149,168477,166292
167743,167746,167321,166812
166805,167242,167826,167161
166405,167210,168506,167492
168233,167615,167607,167247
166878,168047,167269,166775
166622,167587,167234,167712
167556,168201,168281,167635
167616,167588,169006,167745
44420,865,94122,96897
72965,1659,123309,123702
92651,2541,135164,137415
107867,3268,143680,145775
123408,3943,148802,151065
129671,157248,152845,155718
139145,156787,157853,166820
142285,156690,158638,166368
146026,157341,160250,166630
150495,156611,163127,166629
153683,166751,163935,165822
156931,167836,163519,166865
157891,167450,166072,168308
159042,167557,165935,167209
161942,167623,166613,166257
162136,167615,165788,168729
163247,167813,167261,166558
164976,166825,168116,167240
165233,167116,166802,167401
165502,167128,167008,167483
166472,167783,166984,167366
166739,167555,168660,167712
166974,168168,167770,169187
166899,166797,168103,167727
167484,167426,166512,167274
167210,167529,168574,168204
167611,166836,168225,167046
166403,166995,167966,166907
167916,166896,167731,167372
167510,167659,167181,166854
44104,918,96198,97318
73691,1676,123209,122729
96233,2496,135806,137021
110126,3305,143477,144518
121912,3930,149386,150590
130311,156716,154410,156499
137352,156258,157586,166315
143183,156360,158774,166909
150375,156829,160764,166483
153174,157062,162104,167089
151942,167198,165152,166292
154944,166338,164996,165495
159479,166659,164856,167030
160400,167263,165705,168705
160474,167859,165598,167430
162770,167556,164887,167007
163696,168028,165916,166742
164847,166607,165412,168097
165158,167412,167304,167599
166604,168276,168021,167419
165453,167867,166862,167286
165333,167438,167865,167017
167888,167956,167649,167466
166473,168489,168201,167947
167067,166811,167154,168385
166306,167083,166905,166978
166721,167252,166713,167281
168062,167413,167861,167613
167332,167478,167276,167306
167209,168355,167804,167628
45623,904,96236,96295
75576,1676,124298,123430
95743,2507,134630,136394
109639,3305,143364,145219
119305,4003,149201,150397
129071,156255,154347,156239
138168,155949,157787,166954
144451,154938,159181,166813
145970,156261,161414,167060
152657,155855,161402,166423
154672,166911,163181,167036
158336,167150,164012,167534
159251,167842,165185,166579
160304,166958,164913,166995
161155,167971,165010,167484
162539,166543,165796,166778
163959,167517,166007,168465
164292,167133,167113,167115
165963,166872,166637,166536
165719,167909,167027,168203
166717,167738,168161,168416
166450,167456,167022,167294
168092,166887,167082,167275
167072,167711,168248,166426
167333,167228,167952,167186
166734,166776,167573,167736
168084,166822,167505,168326
167600,167126,168502,166751
167682,166586,167694,167357
168386,167267,166825,167908
43384,897,95857,97444
73566,1657,122409,122562
93766,2498,135290,137483
110659,3319,144983,145949
122443,3955,147733,150531
131235,156560,154245,155920
138263,156836,156884,167170
143076,157163,159629,165921
147232,156744,161352,166673
151972,157116,161894,166762
154563,168108,163512,166681
156812,168274,163683,166710
159681,166689,165132,168069
159294,166647,164483,168522
162443,167398,166540,167716
162677,166593,166000,166917
163176,166887,166277,168461
163921,166961,166733,166450
165123,167866,166653,167418
166022,167177,167535,167994
166306,167826,167935,166137
165858,167412,167184,167287
166168,168192,167442,166623
167249,167432,167091,167410
167291,168437,167137,166824
167202,167574,167342,167151
168107,168030,167008,168125
167310,167745,166994,166789
166132,166852,168963,167240
168375,167000,167886,167831
47213,887,95430,96665
73173,1704,124119,123684
93643,2487,134107,138492
106982,3239,144362,145517
123097,4001,149624,150415
132073,157884,153961,156364
138196,155857,156817,166399
143463,156834,158872,166480
146876,156773,162169,167157
149785,156387,161175,167406
153851,166916,164007,166660
155959,166999,164383,166988
158157,167817,164057,166905
160887,166651,165187,166581
161858,167525,165453,167225
161504,167121,165454,167752
163447,167059,166405,166464
164727,167577,166409,167150
163592,166780,166453,166596
166537,167810,166661,167107
166201,167386,167600,167662
165637,166401,167887,167699
166665,166727,166129,167579
166296,166999,167575,167584
165669,167678,167996,167132
167076,167552,167616,167353
167753,168148,168231,166201
168065,167433,169762,167190
168623,168358,167828,167583
166354,168769,168029,167738
45107,898,95530,96352
76468,1694,123642,122901
93775,2467,134285,137429
108925,3276,144235,144561
122132,3931,148431,151140
129423,156191,154025,156444
138714,156574,157444,166281
143468,157462,158322,167096
147368,156958,162628,166741
151350,156637,163369,166904
153010,166863,163285,167792
156516,165891,163590,166628
160332,167026,164546,166914
160776,166423,165782,166563
161177,166586,165615,166686
162937,167658,165948,167488
164226,167478,166952,166533
163895,166763,165749,167932
164467,167924,167852,166458
165905,166499,166737,168482
165380,167452,167969,166756
167273,167829,166365,166620
166420,167530,166870,166623
166225,167779,168072,166775
166692,168287,167614,166816
166760,167872,168015,167472
167953,168099,168335,168185
167682,166624,168148,166595
166686,168121,167761,167494
167912,167953,167283,167690
44828,914,96583,96690
75137,1683,122584,123726
93513,2469,135222,136809
108418,3269,143615,144529
122236,3937,150102,152571
130847,156469,153313,156368
137781,157772,158035,166682
144017,157160,159835,165650
148303,158326,161379,166435
150754,156518,161623,166451
154933,167310,163693,167093
158036,167394,163455,168083
158849,165671,164549,166859
161248,168045,164592,167173
159940,166586,165198,167385
163593,167501,167007,167331
163680,167609,165603,166818
164671,167436,167671,167470
164796,166739,166334,166563
165371,167141,167254,166641
166025,167051,168328,167670
166620,167552,167690,167325
168244,168484,167944,167195
167361,167047,166744,167044
166911,167952,167439,167511
166981,168288,166616,165948
167663,167467,167601,168256
167880,167915,167170,166976
167586,168612,168186,167717
168113,168352,168316,167353
44960,852,96943,96520
72804,1700,123791,123076
95360,2475,134115,137950
109315,3325,144614,145197
121216,3946,149094,150797
130381,156513,152899,156298
138664,156586,157828,166403
143488,156806,159249,167645
147655,157152,161276,166849
150766,157144,162570,167603
154170,167693,163038,166490
157007,166685,163552,167470
159094,167778,165383,166523
159081,166925,165156,166867
163195,168163,164956,166693
162243,166442,165879,167397
162943,168232,167137,168524
163733,166855,167322,167541
165029,167894,166827,166778
164778,166809,166648,168070
166101,168018,167052,167517
165992,167890,168591,166920
165969,167588,166687,167088
166872,168049,168210,167408
167821,167347,167429,166681
166293,167803,168602,167046
167610,167389,167470,168049
166904,166448,167918,166306
167313,166874,167451,167165
167617,167763,167640,166609
46941,872,96390,97786
74148,1726,123089,123734
95080,2497,134701,136680
110656,3219,143991,145809
122341,3948,148742,152168
128952,157465,152527,156458
138199,157484,157804,166553
144179,156378,159929,166937
147808,156828,160646,166705
153116,155785,161240,167442
154451,167456,163174,166293
157052,166537,164040,167702
157770,166969,164823,167145
159936,167011,166386,166892
161252,166766,165921,167496
163331,167457,166882,166884
163368,167473,166358,167711
163884,167746,166929,166594
163630,167040,167532,167640
165926,167566,167153,165993
166449,168041,167022,167467
165736,166548,167298,167012
166968,167243,167186,166604
166156,167427,167029,166893
166801,166946,167250,167847
167437,167453,167026,168045
166924,167404,166716,166336
167484,167274,168763,168757
167533,167020,167199,168459
167201,166814,167415,167365
