41073,61967,50057,50331
60200,80629,69466,71803
79639,98061,90854,89611
100508,117156,109035,106824
117590,138688,128766,125414
33406,60842,39592,39358
54145,81532,58677,58963
73786,99172,78224,76745
91170,117179,95848,96413
111403,138053,114490,115696
31764,59039,32734,33149
50765,79200,51765,52560
70198,98392,70513,73361
87185,118994,91312,89770
106885,136765,109017,108617
28799,60639,29586,28957
48641,79485,50299,49787
67208,100433,70100,69127
86353,118241,86242,87078
105850,136874,106047,106416
26380,59317,27851,26400
45799,77401,47671,46576
65485,98586,65540,66815
85822,117898,84999,84984
104801,136984,105025,105107
26275,24306,25677,23821
45004,41294,45124,44506
65239,61767,65035,61628
83676,80813,82940,81615
103201,99496,103157,99669
25591,23111,25483,20935
43822,42267,44791,41397
63363,62098,63475,60261
81118,80936,83353,78854
102289,100631,101780,98701
24244,24115,23771,22885
44283,43719,44008,41078
62361,62556,63504,59550
81866,80531,81927,78789
101224,99376,101413,98742
22870,24116,24052,21868
42315,42321,43871,41140
61954,61164,63182,59947
81649,80610,82631,79276
100965,100775,100516,97176
23810,24293,23182,21657
41255,43390,43967,41837
62618,62723,62550,60061
81019,81234,81043,78587
99817,99698,101077,97754
23507,22690,22598,22100
43232,41119,41293,40684
62054,59059,61275,59577
82512,79764,81435,78877
101086,98934,100613,98249
22745,22028,22735,21919
42879,40995,42575,40239
61423,61393,61852,59035
80320,78586,80920,79676
99607,98393,98784,98235
22489,21674,22772,22255
41214,42197,41620,40533
61244,60689,60989,59404
79854,79139,80328,78357
99275,98133,101042,99035
22535,21617,22159,21318
42610,41035,43297,41605
60803,59532,60069,59884
80768,78089,80045,79674
98102,99421,98626,99357
22549,22819,21620,22623
41712,42273,42514,39335
60753,60941,61540,59196
80744,80781,81178,80254
99896,99388,98669,99455
21628,22225,21961,22055
41558,41345,41210,40637
59663,60389,61010,59551
80389,79177,78467,78919
99498,98693,100696,100310
23102,22634,21480,20962
41224,42083,42251,40754
61161,60913,60752,59761
78713,79025,80207,79548
100166,96830,98473,98302
22296,22311,22039,22187
41535,41506,42129,41645
61539,59029,60308,61587
78666,78422,78409,78670
99200,99269,98907,98925
21954,22065,21787,21473
41709,41980,41233,40182
59993,59295,60914,61047
78231,78196,79769,79345
99081,99102,98744,98252
21602,21392,21681,21701
41391,39757,40831,40739
59947,60165,60236,60589
79306,79849,80784,79862
96777,98545,98174,100417
21578,21261,22133,22536
41602,40595,41472,39961
60264,59856,60247,60180
80167,77961,78954,78449
97406,99441,100050,97993
22705,22329,21237,21624
41378,40935,39970,41149
60409,59430,60600,60118
79944,79840,80071,77933
97493,99334,97905,97490
22197,22308,21787,22682
40715,41612,41324,41029
60117,59273,60227,59440
79421,79371,79045,78632
98092,97768,100330,99371
21898,22193,21802,21823
40244,41734,41012,40218
60211,60062,61913,59117
81622,80049,79261,79680
98637,98287,98198,98226
21775,22495,21559,21254
41819,41163,41594,41140
59667,60405,61009,60331
79297,79453,80000,79038
100079,96796,97974,99173
22427,21541,20876,21669
41071,40060,40652,41018
60741,61479,59929,59064
79670,80487,80287,79208
96537,98469,98732,97755
22330,21783,21714,21459
42311,41094,41364,40649
60830,59667,60741,58340
78846,79215,79082,77745
99370,98729,99363,99236
20782,22100,22040,21481
40329,40929,40322,39825
60441,59736,59544,60041
79738,79113,80320,80162
98982,96496,97285,97766
20739,22493,21991,21277
42354,41006,40457,42344
59893,60019,60496,59930
79454,78873,78384,78130
97761,97697,99125,97362
22285,21680,21313,20709
40368,41510,41438,41680
60648,59574,60572,59849
79447,79878,78964,79972
98046,99084,98421,98435
40612,59935,50114,51362
60810,83154,70789,68807
79359,98815,90216,88331
99418,117776,108994,110199
118150,137374,127693,128541
33737,58857,37866,38540
55143,80208,57667,57932
73394,100439,77832,77680
90646,117951,96370,94471
110866,137000,115737,114860
31606,60931,30459,33307
49910,81337,53110,52177
69352,100297,71451,71492
89267,117571,90240,90457
107066,137012,109477,109575
29729,59655,28371,27897
47355,77811,49016,49197
66887,96819,66128,67494
86125,116970,86693,87642
105864,139496,107022,107032
27361,61378,27232,26928
47741,81653,46414,46164
65930,97855,65269,66814
86228,116500,84574,86403
103870,138410,103975,103119
25665,23489,25789,23590
45192,41912,44943,42182
64829,61322,65687,61029
83693,80765,85144,82465
102122,100052,102411,98265
25495,24020,24031,21077
44704,43122,43973,39974
64100,62726,64647,59754
82965,80477,84133,80264
102717,98966,101636,96937
24465,23799,24566,21944
44162,42823,42793,40965
63668,61607,62386,60416
82295,81383,81695,79285
101082,99623,99080,97440
23511,23922,23574,22282
42542,43495,44154,41403
62113,63162,62782,59929
81894,80436,82419,79222
100898,100091,101525,97167
23816,24264,23368,21704
42484,43366,42678,40401
61495,62275,62179,59344
81410,81378,82646,78634
100812,101650,99430,97707
22278,22466,22342,21399
42999,40982,42763,40639
62889,59841,62233,59920
80249,79238,81300,79292
100482,98076,100466,99896
23924,22747,22439,21821
42118,40876,42290,41688
61190,59151,61697,60129
81506,79497,80133,80321
100554,99431,99736,99273
22678,21732,22138,21556
42079,42400,41774,41296
61170,59717,61465,60191
81203,78718,79976,79157
99665,98793,97568,99104
23203,21710,22735,21135
42026,40852,41328,41012
60290,60429,61744,59746
78904,78418,80741,77550
99107,98164,101161,98528
21691,22295,22541,22742
41365,41802,41029,41389
60705,60226,61355,60464
79705,79288,80248,77611
98922,98287,99969,99247
21865,21781,21833,22229
40731,39750,41500,41082
60131,60491,59904,59843
79996,79652,80266,79040
99425,98478,98637,96983
22376,22328,22194,22015
41197,40865,42240,41556
59940,59601,60576,59605
79827,77718,79870,78890
99334,98633,97811,98533
20774,22877,21805,21745
41334,41761,41442,40931
60916,59261,61517,59577
78732,78797,80355,80386
99045,98330,100562,99642
22400,22329,21586,22674
40798,40890,42096,41272
61426,61031,60123,59841
79937,79373,81094,79296
100266,99479,99650,97983
21358,22314,22748,21894
41176,41575,42397,39384
61541,60817,60663,60162
81262,79231,78919,78972
99035,99060,98762,98424
21892,22106,21590,20793
41254,40573,40939,40409
59927,60781,60658,59707
78872,78487,78391,78041
98977,97731,99287,99299
21637,21637,21973,21972
40717,41269,41382,41393
61343,60441,59890,60847
79291,79588,79679,78065
99765,98433,99563,98548
21647,22234,21818,21136
40544,42072,41054,40987
60820,59186,59689,60279
80326,79649,78797,79251
98028,99657,98582,98858
22129,21057,20854,21298
40903,40097,40985,40149
59511,59476,60347,58960
79193,80741,80166,78711
97229,98028,99662,97020
22396,22696,22042,21344
42365,41386,40488,41371
59736,60265,60824,60146
80029,80110,79380,77754
98806,97990,99743,98167
22000,21909,20980,21416
40322,40791,40157,41197
60560,59522,61664,60561
79876,79455,80362,79480
97958,97815,99943,97855
22297,21350,21249,21996
40736,41238,41647,42492
61318,59172,60118,59964
79743,78908,80150,80721
99356,97964,96742,98753
21684,22073,22001,22040
39944,39894,40802,40185
60001,60078,59580,60078
79672,78289,78806,80193
99235,97401,97122,98121
21276,21922,22079,21537
40491,40089,41198,41449
60985,61440,59315,60173
78895,79065,79008,79447
97454,98599,100188,99283
21180,21785,21585,22513
41500,40667,41223,39178
59140,59683,59732,60963
77798,78971,78837,78965
98849,99154,99223,97593
42309,60999,50961,50337
63045,78912,69996,67955
79287,102231,89596,89634
98426,117378,108114,107117
118529,137016,126784,126860
33790,60910,39029,38006
54818,79467,56964,58634
73854,98869,76416,77684
92533,118383,97156,95396
111807,137698,114230,115050
30467,59356,30892,32438
51308,78340,51678,52424
68913,96950,69726,71401
88325,118409,91781,89359
106773,137315,109643,108613
28074,61564,28796,29424
49007,80198,49084,48276
67412,97335,67945,67938
85995,119025,86629,86921
105919,136969,104970,105596
27503,64146,26906,26494
46748,80760,46090,46537
64993,98921,65497,66019
83741,117305,86280,85072
105712,134861,103786,103655
23817,24345,25690,24834
44387,42495,44427,43420
64613,63123,64125,63939
84711,80701,82008,80994
103480,100543,100846,101861
24641,24459,24666,22686
44700,43878,43472,40334
63780,61729,63714,61601
82689,81529,81707,79908
102352,99309,102013,98932
23601,23289,23855,20806
43201,42394,43046,41917
63733,60661,62889,60818
82321,80444,81472,79663
101231,98777,102232,98325
23075,23954,22965,22471
43372,42472,42322,40518
61671,62629,62411,60205
81553,81052,81014,79218
99718,99492,101543,98124
23624,23815,23294,20962
42902,42915,43022,39698
61304,62381,61291,59635
81417,81592,81604,79330
100031,99542,100398,98502
23282,21943,23431,21098
42039,40858,42693,41145
62305,60344,61837,60364
80951,78407,80508,79556
100293,99977,100182,98561
22533,22230,22857,22533
42491,40974,41946,40747
60703,59862,60612,59442
81274,79447,80660,79840
98886,98342,101294,98266
23576,22327,22561,20557
41209,40471,42767,41419
61701,59689,61364,59106
81486,79478,80201,79986
101045,97147,99394,99293
22041,22365,22804,21983
41355,40692,41760,40213
61272,60229,60346,60561
81394,78545,80034,78539
98620,98874,99141,97791
22054,22447,22834,22585
42086,40967,41688,41733
61483,60299,60992,59847
80736,79311,80673,77235
100094,99867,99855,97695
21451,22452,21718,21802
41663,40889,42890,42138
60832,59696,60955,59975
79793,78441,81022,79132
99081,98450,98949,100388
21201,23034,22546,21607
40218,40390,41040,42236
59745,60317,61063,59815
79550,79204,80222,79174
99860,97924,97497,100087
22003,22619,21920,20631
40300,40916,41255,39906
59864,60139,60414,59210
80835,80197,79288,78856
99124,98938,98096,97771
22490,22053,22315,22282
41242,40579,41745,40487
59702,59815,60561,60499
79285,79611,80129,78046
98779,97042,100844,97651
20497,22162,21210,22083
41366,41907,41336,40710
59794,59414,61078,60158
79946,79295,80973,80573
99617,98509,98990,98148
22284,22471,21781,21172
41015,40883,41357,40784
59804,59359,60098,60685
80042,80078,80102,78858
98731,98963,98321,97684
21043,20486,21397,22159
40464,40914,40995,40950
59972,59606,59685,58753
80331,78622,78513,79797
98781,98554,97768,98271
22173,21397,22155,22073
41906,41221,40289,41292
61660,58203,59817,58412
78660,78576,79215,80409
98726,98324,98674,98698
22344,22484,21395,23174
40380,41113,40875,41072
60911,61237,59501,58580
79354,79702,79412,79015
98290,97653,98384,98882
22184,21328,21342,21751
40332,41488,40761,40481
59804,59640,58898,60288
78410,78308,79005,77784
99705,97227,98120,97955
22179,22367,21940,22232
41853,40948,41182,41487
59792,60146,59308,58667
78948,79070,79815,77880
97350,97755,97697,96782
22434,20575,21409,21327
40837,41373,39770,40881
60295,59405,60318,61060
79215,79103,79832,77984
99916,98181,97486,98306
22206,21225,20353,22170
40509,41587,39989,39926
60346,59538,59550,61793
79826,78544,78714,78902
98273,98102,99408,98721
21867,22660,21281,22274
40355,39898,41973,41108
60323,59280,60416,60718
79101,80774,78439,80698
99158,97536,96888,98038
22253,22058,21907,21707
41402,42307,39914,40402
61017,59494,60033,61422
78282,79242,78652,79624
98043,98489,97779,99761
41023,61095,51544,51356
61572,81228,69819,70437
79743,100114,91174,89888
99020,117822,107535,110060
118461,135875,126376,128480
33486,60783,38177,38557
53800,82556,56969,58605
73079,98782,77154,77574
92658,118408,95053,95980
112810,138340,115638,114497
31186,59429,31226,32064
49571,78912,52569,52464
69782,98219,70950,72487
89345,117282,89941,89779
106187,139229,109469,109558
28754,59929,28454,28274
48030,79193,48326,48715
67638,98860,66527,66629
86014,117513,87508,88430
107112,138088,105853,105617
27443,59335,26892,27331
47113,77646,45310,46933
66338,97944,66640,66197
85624,118925,84550,86728
104916,137447,103785,105536
26247,23024,25726,24248
46043,43201,46494,42817
64558,61266,64686,61113
84599,81269,84112,81719
101923,99307,101214,101559
24618,23246,25263,21989
44225,42506,43868,42450
64417,62656,63774,59200
81426,82209,84271,76448
100143,99765,100737,100003
24061,23321,24613,21972
42532,43612,42997,40892
62450,61329,62581,60167
84077,81677,81954,78893
101911,99725,101025,97576
23850,24118,24116,22400
43089,43146,42237,41120
62692,61964,62476,59455
81782,78708,82352,81283
101803,101020,100676,99235
22819,23361,23099,21844
42447,42510,42995,40628
63383,61109,60541,60538
80628,80366,81522,80664
101457,101157,100571,98415
23150,22549,21854,22802
43366,41445,41857,40588
61611,61424,61874,60218
81319,79135,81001,80920
99018,99678,99270,99016
23451,22434,22367,21932
42627,41628,42334,40768
62489,60111,61081,60757
81387,78929,81875,79319
100815,99453,98719,98944
23428,21589,22447,22458
41528,39652,42350,41682
60461,60625,60259,60599
80265,79454,80274,79490
98941,97691,98043,98348
22303,21594,23820,22530
41503,40868,40761,40028
61015,60429,61216,60299
81816,79524,80184,79645
98018,99913,99221,98154
22487,21520,22516,22278
41278,40817,42575,40831
61097,60516,60272,60668
79825,80081,79374,80574
96352,98668,98180,99152
21701,21809,21957,21919
41527,40998,41511,42081
60813,60464,62545,59853
79455,79133,81031,78876
98606,95895,99744,98644
21662,22282,22320,22648
40851,40442,40866,39062
60375,59820,59891,60666
80925,80056,78300,80502
99194,99372,99610,98031
21858,21898,22932,22354
41179,40805,40457,41244
59457,59596,60654,60405
80037,78285,81228,80357
98910,98005,97644,97322
22039,22001,21987,21559
39625,41286,41269,40934
60030,60450,60458,60506
80066,79203,78739,79666
98518,97439,99636,99899
22125,22563,22270,21687
40829,41010,41551,41351
61269,60040,60558,60255
79479,79901,79720,79064
98673,97577,98501,99202
21196,21165,20634,22107
40815,40189,41349,41181
60665,59559,60362,59648
79005,77882,79597,78979
97145,97430,98232,97472
21062,22526,21612,21667
40877,40255,40949,40270
61300,60899,60075,59778
80542,78225,80246,79505
97668,99651,98015,99412
21970,21223,21732,22896
41097,41252,40177,40194
59360,61173,61694,60230
80169,79687,79456,78156
99331,98720,99745,97196
22264,22196,21693,21849
40463,40005,40295,42432
59654,60811,59781,59513
79553,79515,79471,79734
98274,98119,98724,98112
22594,21952,22098,22205
40794,40847,40242,40045
60144,59577,60839,59074
79656,78977,78708,78307
97768,100004,98145,98316
21510,21618,21671,21624
40291,41763,40000,40591
60348,60176,61538,60425
79632,79638,78608,78984
98167,99040,99739,97855
21202,21872,22555,21147
40705,40732,40958,40655
58826,59969,59823,60730
80574,80442,79310,79690
98159,100159,97121,97748
