86129,137084,43944,42762,,,,17516431,10408454,11681861,4206660,
98887,129936,45021,41333,,,,17500587,10415969,11711100,4183859,
103738,128220,44511,41302,,,,17513180,10424413,11673256,4209289,
102496,121934,43057,43049,,,,17533781,10405104,11701772,4192092,
105355,118532,44725,42034,,,,17496180,10429547,11671017,4205095,
101066,111463,44655,44982,,,,,,,,
100257,111189,44237,43111,,,,0.145970258,0.086737117,0.097348842,0.0350555,10%
95775,106369,44240,44378,,,,0.145838225,0.086799742,0.0975925,0.034865492,30%
93249,101198,42614,43007,,,,0.145943167,0.086870108,0.097277133,0.035077408,50%
89539,94407,45560,43257,,,,0.146114842,0.0867092,0.097514767,0.0349341,70%
86471,88222,44540,45632,,,,0.1458015,0.086912892,0.097258475,0.035042458,90%
82640,85157,43921,44103,,,,,,,,
76144,82211,42620,42656,,,,,文獻[7],,,
72726,77869,42511,44288,,,,,被動式,,,
70130,72415,43511,43645,,,,,主動式,,,
65890,67917,41649,44942,,,,,混合式,,,
60577,60795,42332,42366,,,,,,,,
55360,56937,43527,45430,,,,,,,,
49014,53103,43145,45076,,,,,,,,
46783,46481,43414,42508,,,,,,,,
59164,137352,25228,25634,,,,,,,,
71960,131021,26977,26829,,,,,,,,
82266,125380,28919,27891,,,,,,,,
89889,120602,29743,29368,,,,,,,,
91505,116824,30158,28802,,,,,,,,
92312,114723,30719,32982,,,,,,,,
92822,106323,31789,33232,,,,,,,,
88471,104106,34022,34316,,,,,,,,
86716,99461,35300,36145,,,,,,,,
81696,94160,36927,35857,,,,,,,,
81873,92505,38648,38028,,,,,,,,
75422,86502,40504,38687,,,,,,,,
74579,81674,44445,39344,,,,,,,,
69711,76261,46261,44537,,,,,,,,
64698,72424,47465,45559,,,,,,,,
62456,64536,48463,46845,,,,,,,,
56511,60948,46732,48234,,,,,,,,
53935,58317,45324,47435,,,,,,,,
49605,51762,43401,42751,,,,,,,,
44983,45621,42732,41944,,,,,,,,
41898,138310,20757,18294,,,,,,,,
54922,131762,21859,20144,,,,,,,,
65884,126066,23725,20675,,,,,,,,
74375,126032,25063,22091,,,,,,,,
80988,118467,25274,22896,,,,,,,,
81665,111189,27851,25367,,,,,,,,
82357,107347,29613,25783,,,,,,,,
83143,104662,32491,28851,,,,,,,,
79957,99637,34460,29510,,,,,,,,
81022,91774,37454,32252,,,,,,,,
76019,88314,41223,34687,,,,,,,,
72399,85551,45180,37846,,,,,,,,
70278,79308,53858,42626,,,,,,,,
66112,74283,55972,47032,,,,,,,,
62433,70435,57225,50630,,,,,,,,
58947,67093,53610,49868,,,,,,,,
56013,61814,52958,51754,,,,,,,,
52148,56955,48705,47267,,,,,,,,
46636,52592,43471,45091,,,,,,,,
44879,47078,41054,40957,,,,,,,,
33909,135835,15901,14874,,,,,,,,
40375,128111,16987,15537,,,,,,,,
52168,126261,17196,15177,,,,,,,,
60467,122056,18616,16588,,,,,,,,
69103,117463,19121,17567,,,,,,,,
72852,111721,21225,18226,,,,,,,,
74854,108133,22922,21593,,,,,,,,
76753,102907,26137,23383,,,,,,,,
75606,96927,29144,26277,,,,,,,,
73245,94990,32620,28565,,,,,,,,
71602,89887,38865,31949,,,,,,,,
70401,86228,43690,38908,,,,,,,,
66434,79501,48553,43761,,,,,,,,
