72798,949,105999,106907
53598,925,100491,101280
46183,910,95937,96286
39394,832,90832,91806
34445,839,85809,86163
31886,821,81375,81830
29045,745,76450,78260
28780,770,72247,70574
27112,741,66532,67382
25348,656,61911,62219
24283,647,57882,57196
23178,651,52547,52436
23348,633,48345,50520
23417,572,42535,43077
22392,544,38536,39378
21739,554,34116,32515
21833,517,28902,32220
22526,490,23678,23491
22598,464,20957,19530
20760,432,15710,16856
107430,1806,135180,135008
88505,1735,129643,130196
74980,1695,123214,124143
59621,1653,117196,117625
54350,1644,111165,112235
49422,1547,106983,105147
44244,1470,100093,100753
42937,1404,95055,93088
39498,1367,86476,87110
39742,1309,81342,81621
35721,1268,74618,75058
35327,1184,68847,69655
34251,1147,59707,64243
32839,1102,53752,55315
33345,1060,47378,48907
31010,963,39764,42944
32086,999,38778,36070
30394,920,34971,33105
30263,843,32417,32634
29683,799,28516,27659
126338,2651,146509,148557
108943,2606,141649,143853
92670,2482,135471,136952
80127,2460,128030,131495
68247,2333,122961,124544
61915,2256,116601,117526
57339,2103,109031,113882
51706,2097,100927,105138
49845,1971,95027,97129
44402,1974,86052,92161
43405,1866,79228,83598
42566,1835,70667,76937
42537,1698,54830,67604
40161,1612,49692,58366
39384,1529,44783,49753
37380,1479,42292,45627
37102,1421,38025,39629
37350,1375,38574,38602
35438,1296,36534,35818
33627,1310,37434,35943
137292,3526,154513,156169
126614,3376,149888,151336
108994,3326,143538,145710
97412,3189,137751,139397
82256,3052,130580,132646
74137,2945,125133,128118
67205,2884,119588,120174
61463,2789,111289,113470
57186,2640,100756,104596
55401,2526,94352,99237
50379,2348,84367,90777
47967,2350,72939,80647
47213,2258,65205,69161
42778,2066,54324,59196
43478,2056,50871,50720
40428,1904,44631,48329
40648,1817,43957,44230
41066,1800,42339,41297
38974,1667,40568,40620
37350,1607,38928,40304
146888,4239,158502,162034
134421,4093,153951,156140
121903,3986,148118,151599
108785,3767,143672,144257
98009,3775,135910,139918
86645,3592,130233,133010
74809,3442,124508,126965
69664,3322,115153,120443
63336,3198,108460,110624
59190,3118,100573,104056
56398,2977,85896,94186
51487,2710,76236,85809
49607,2663,62177,72241
50913,2606,54366,60037
45958,2463,50401,56218
46283,2407,47910,49351
43708,2340,45930,46083
44040,2111,44688,43948
42136,2083,41519,45027
41417,1957,40858,41510
153373,165584,163305,165708
143104,161880,158389,161949
131492,156554,153393,156799
118364,150834,148103,152398
105577,148788,142631,145515
95049,143763,136005,141996
87056,137838,129951,138723
77772,134669,122001,134161
69917,129063,112689,129101
65187,123802,105748,123857
61857,120075,87122,119649
58595,114896,71718,115003
55569,111147,65355,110319
53337,106082,54879,106223
51909,101864,52548,101084
48022,96591,51414,98475
47361,93700,49896,93543
45311,87901,46518,87618
42393,84698,45125,82826
42260,78916,46118,78736
157912,166491,165576,177334
147613,162421,162825,171077
137163,156355,156667,165638
127358,151538,151143,163398
116635,148091,144623,157028
104001,143501,139758,151858
93966,138091,131807,147944
85225,135023,126897,142477
78739,129102,118821,138421
72585,122598,107662,133681
67087,119581,96660,128686
65198,116287,83100,124667
60937,110812,67591,119984
55089,106262,61535,114029
55386,102820,56800,110015
52220,98255,53683,106156
50055,92743,51406,100359
49078,89298,47914,95900
45193,83164,46128,91533
46170,79989,46172,85931
162350,165743,168626,175423
154585,161258,163496,171036
143172,157346,158751,166706
132861,152287,154896,162693
121363,146606,147789,157388
109346,143074,141500,153251
98592,137423,134099,148759
89984,133630,130296,142185
86074,128300,119198,139017
77042,124335,108745,132811
72814,119553,93206,129395
66530,114524,79298,124487
64124,111531,70603,120123
61323,106506,63182,115432
56486,101720,57677,111013
53862,98513,56509,104569
51053,93939,53995,100357
50869,88724,49046,95750
49639,84546,50555,92292
46972,80228,47872,86475
166214,165823,170108,176289
156913,160749,167045,172578
147909,155899,161202,166192
138985,151696,155757,162570
129743,147981,148436,157312
115546,143019,143634,152644
107079,139158,137591,148813
97650,134224,130363,142431
89008,129928,121891,138754
83011,124466,111280,132774
75470,119055,99346,129664
69530,115744,87040,122738
65005,111592,71556,119681
62715,106431,65257,114388
60888,100995,62826,110001
58354,97215,59247,105487
54703,92394,54624,101964
54937,89499,52930,96685
49369,85052,50483,90601
48405,79525,50606,86703
166245,165593,171726,176746
