46183,910,95937,96286
74980,1695,123214,124143
92670,2482,135471,136952
108994,3326,143538,145710
121903,3986,148118,151599
131492,156554,153393,156799
137163,156355,156667,165638
143172,157346,158751,166706
147909,155899,161202,166192
151408,157149,163781,166772
154061,167078,162720,167215
156844,167750,164180,167397
158655,167467,164774,166553
159819,166082,165259,167537
161863,167311,165442,166875
162642,168049,166646,166465
163780,166447,166362,168148
165127,167383,166825,166649
165086,167977,167324,167631
165154,167904,166063,166938
166465,168258,167864,167195
166007,166651,167256,167595
166483,167118,168373,167448
165885,167268,168007,167058
167018,168063,168412,167659
167389,167344,168464,167435
167812,167828,167500,167783
167642,167350,168387,167572
167239,168175,167365,167842
167091,167101,167761,167415
47662,886,96146,95850
71850,1671,123565,124611
95571,2479,134160,136586
109754,3265,144403,145374
122074,3947,149929,151722
132664,156267,155125,156858
139311,156535,158498,167704
142834,156377,158647,167399
147974,157689,161140,166914
153103,157196,162562,167009
154398,168250,163719,167503
155490,167063,164491,166951
159637,166273,165322,167374
160614,167232,165467,167411
160643,165725,166922,167952
163386,167242,165724,166687
164123,167660,166626,166751
162440,167958,168084,167914
164815,167766,167091,167356
166325,167411,167812,167674
166315,167710,167650,168145
166544,167564,166760,167034
166348,168187,168228,167043
167562,167773,167549,167501
167557,167528,167855,167636
167231,166965,166974,165935
167396,167941,167859,167582
167798,168014,168319,167739
167719,167322,168519,167110
167852,168279,168294,168649
48519,871,96291,96671
72054,1646,123929,123482
93292,2511,134534,137533
110293,3257,143861,145363
120839,3965,149055,151323
129331,156098,153345,155709
139927,157169,157456,167035
142868,157633,158771,167237
149608,156695,161466,166056
152942,156318,160590,166928
154473,167247,163615,167444
155631,166508,164021,166641
159123,166689,164817,167127
159015,167523,165061,167513
162097,166829,165652,167771
162632,168011,164927,165842
163292,166293,166929,168310
164624,166988,167892,167591
165576,166276,167117,166858
165891,167547,167364,167933
167055,167473,167864,167563
165674,167275,167821,166843
165930,166963,166785,167629
167181,167370,167759,166579
166453,167336,167780,166876
166086,167375,167991,168137
167941,166912,167273,167380
167952,168220,167093,167691
167236,166985,167115,166626
167693,167444,167614,167204
45418,884,96527,96035
71926,1693,123378,123549
94845,2462,135440,136580
110050,3311,145614,145731
121329,3904,149915,151783
129518,156501,154253,156473
137246,156775,156834,166184
143599,155696,159795,167273
147942,157116,160922,167664
150961,156687,163077,167107
154876,166796,163819,167686
154662,167295,163104,166852
158640,166827,165189,167803
160478,166868,165283,167362
161496,168430,165043,166755
162819,167765,166751,167300
163330,167131,166488,167287
165428,167391,166353,167753
164277,167529,167096,166233
165652,167514,166964,168154
165487,167379,167741,167124
167698,168195,167662,166880
166659,167243,168324,168140
167219,167834,166904,168044
165818,167538,168491,166946
167600,167674,168548,167133
168034,167206,168925,167576
167098,167275,168196,168479
167295,167518,167714,167447
168879,167945,167806,166873
46460,903,95933,96790
73977,1668,122651,123483
94931,2477,136019,137108
111327,3271,143374,145529
124488,3939,149385,150742
129977,156186,152650,156675
136986,155990,157307,167347
141929,156400,159376,165972
146674,156015,160772,166501
151341,156827,162750,167497
155294,165988,164227,167450
157826,167920,163724,166905
158928,166900,164495,166623
160979,166424,165535,166338
160833,166714,165303,166513
163002,166429,166002,167964
163788,167409,167716,167982
164520,166726,166970,167545
164366,167489,167108,167184
165515,167356,166725,167872
164854,167061,166597,166976
165979,167079,168248,167576
166307,167649,167950,167465
167153,167317,167998,167613
166361,168361,167785,167649
166982,167953,167755,167518
166427,166817,167584,166970
167273,167168,168905,167639
168295,168164,168582,167081
168247,167311,168980,167943
