Result-org,Result-psv,result-a-new,result-opt
7471,1507,2596,1391
7536,1568,2460,1315
8336,1483,2743,1388
7521,1469,2504,1456
7619,1564,2756,1329
7562,1503,2543,1369
7870,1461,2526,1448
7631,1575,2589,1327
7738,1432,2753,1370
7557,1479,2611,1332
8138,1557,2678,1322
8009,1466,2648,1421
7779,1571,2601,1354
7429,1489,2678,1391
8267,1509,2587,1400
7628,1593,2306,1404
6868,1571,2562,1331
6599,1561,2291,1340
6601,1442,2165,1291
6725,1466,2211,1268
6685,1606,1980,1438
6629,1583,2398,1329
6633,1583,2213,1466
6232,1563,2314,1280
6440,1627,2492,1352
6794,1624,2108,1366
6730,1623,2136,1365
6367,1569,2090,1371
7116,1508,2383,1398
7029,1637,2371,1352
6262,1516,2108,1365
6310,1516,2449,1439
6211,1593,2255,1332
7051,1543,2275,1329
6065,1502,2594,1346
6818,1559,2221,1330
5682,1284,2030,1326
6017,1280,1879,1338
5421,1264,1987,1337
5808,1201,2092,1397
5512,1295,2132,1305
5318,1273,1963,1452
5354,1294,1775,1389
5674,1310,1961,1441
5944,1197,2037,1388
5435,1196,2086,1349
5356,1245,1999,1349
5546,1292,1895,1236
5665,1260,1923,1390
5576,1178,1922,1260
5166,1316,2067,1390
5769,1284,1973,1346
5391,1271,1926,1293
5623,1225,1775,1325
5553,1258,2201,1289
5414,1211,1953,1331
4634,1184,1750,1283
4743,1211,1569,1214
4737,1230,1748,1279
5123,1225,1846,1242
5166,1211,1686,1347
4824,1318,1798,1266
4485,1265,1674,1247
4747,1265,1748,1198
4660,1262,1906,1230
4865,1187,2007,1210
4992,1329,1853,1190
5069,1348,1715,1216
4549,1237,1654,1327
4779,1252,1804,1291
4995,1220,1653,1336
4627,1309,1747,1254
4617,1244,1769,1270
4780,1231,2062,1273
4785,1265,1580,1270
4786,1187,1785,1274
3954,1266,1583,1274
3941,1286,1569,1295
4095,1217,1649,1255
3989,1322,1762,1312
4303,1220,1655,1244
4224,1227,1721,1266
3598,1200,1592,1195
4272,1234,1639,1294
4437,1273,1377,1233
3989,1278,1430,1299
3906,1218,1517,1278
3787,1168,1301,1245
4167,1135,1501,1272
4214,1223,1438,1284
4149,1288,1623,1318
4170,1247,1636,1233
4030,1164,1525,1299
3872,1347,1593,1265
4176,1302,1455,1283
3985,1143,1475,1225
3410,1179,1430,1246
3325,1269,1305,1308
3334,1235,1395,1249
3215,1237,1241,1183
3632,1235,1402,1324
3378,1210,1426,1312
3656,1227,1398,1321
3581,1231,1399,1225
3849,1190,1551,1290
3356,1288,1494,1229
3661,1271,1383,1313
3352,1185,1481,1327
3474,1268,1429,1258
3222,1206,1327,1333
3676,1238,1368,1316
3641,1150,1382,1244
3568,1201,1386,1201
3567,1257,1489,1228
3386,1211,1468,1291
3493,1321,1368,1302
2963,1216,1348,1277
2945,1179,1322,1342
3219,1256,1277,1306
3205,1216,1255,1341
2891,1237,1417,1241
2842,1213,1140,1310
2809,1280,1238,1255
2972,1280,1378,1191
2724,1178,1132,1133
3236,1265,1437,1293
2884,1238,1176,1306
2813,1237,1312,1200
2766,1290,1109,1278
3088,1239,1227,1188
2805,1172,1340,1203
2839,1211,1287,1249
2981,1377,1317,1185
3031,1234,1257,1264
3099,1245,1318,1285
2651,1186,1399,1240
2550,1243,1187,1222
2802,1127,1102,1210
2710,1160,1340,1313
2693,1154,1238,1205
2550,1211,1065,1248
2502,1049,1261,1177
2932,1140,1216,1237
2515,1049,1115,1253
2922,1085,1078,1192
2708,1135,1213,1293
2554,1108,1229,1169
2607,1143,1140,1159
2717,1062,1460,1266
2373,1197,1239,1213
2394,1054,1078,1262
2595,1097,1196,1190
3000,1066,1217,1262
2667,1115,1305,1230
2636,1029,1279,1202
2609,1186,1186,1213
2186,1097,1039,1243
2171,1162,1138,1284
2312,1119,1082,1207
2183,1041,1114,1241
2302,1102,1048,1193
2300,1093,1034,1191
2138,1129,1081,1266
2167,1169,1191,1252
2410,1090,1188,1197
2059,1206,1001,1301
2219,1067,1158,1255
2357,1114,1073,1254
2342,1222,1163,1223
2339,1151,1170,1174
2155,1203,1185,1350
2332,1156,1096,1325
2105,1134,1192,1188
2319,1152,1161,1246
2451,1157,1158,1232
2282,1087,1201,1234
2016,1115,977,1245
1968,1127,908,1213
1982,1131,982,1260
2006,1173,897,1357
1932,1052,1083,1271
1966,1096,937,1209
1987,1078,1008,1236
1959,1108,1006,1247
2004,1123,1042,1276
2020,1163,1082,1266
1845,1114,936,1288
1787,1111,1046,1158
1791,1135,979,1253
1928,1202,1107,1176
1991,1039,1075,1249
1920,1130,1056,1166
1784,1045,1046,1226
1873,1156,1089,1253
2043,1134,1043,1226
1886,1152,1086,1293
1686,1063,999,1198
1902,1155,1019,1215
1772,1119,976,1183
2005,1160,1058,1160
1729,1177,1101,1118
1597,1119,1034,1103
1953,1163,1022,1144
1810,1122,999,1207
1670,1075,901,1203
1728,1179,1030,1224
1782,1142,972,1175
1667,1118,899,1246
1777,1099,937,1191
1552,1158,945,1150
1725,1175,943,1231
1779,1184,905,1154
1716,1111,1061,1222
1784,1218,1149,1178
1813,1130,869,1224
1764,1203,1004,1192
1518,1145,995,1163
1507,1179,1035,1151
1616,1100,863,1164
1586,1070,891,1180
1537,1119,790,1180
1550,1091,945,1236
1616,1122,907,1123
1458,1196,970,1219
1776,1140,814,1134
1642,1080,918,1129
1602,1066,899,1243
1436,1103,985,1168
1543,1112,995,1134
1370,1099,968,1163
1402,1094,872,1164
1583,1160,819,1254
1467,1101,863,1189
1562,1061,859,1237
1521,1016,944,1220
1520,1075,915,1127
1466,1100,855,1201
1388,1168,763,1186
1256,1108,918,1148
1339,1122,842,1254
1467,1006,906,1147
1394,1141,990,1171
1369,1115,881,1257
1478,1076,790,1199
1237,1102,914,1148
1378,1062,860,1195
1328,1069,911,1142
1366,1071,870,1138
1398,1145,931,1261
1393,1096,900,1162
1279,1079,909,1141
1342,1079,975,1262
1377,1094,781,1194
1337,1085,1007,1261
1344,1028,850,1286
1528,1098,812,1090
1150,1086,786,1170
1186,1047,792,1046
1356,1088,870,1145
1225,1167,845,1167
1177,1150,865,1163
1299,1054,816,1091
1325,1119,884,1099
1299,1052,901,1131
1266,1083,851,1079
1219,1032,858,1155
1477,1065,940,1280
1410,1171,791,1127
1303,1107,953,1131
1143,1139,934,1172
1218,1069,992,1140
1329,1067,978,1161
1196,1091,815,1000
1224,1098,873,1143
1309,1061,884,1130
1382,1044,759,1173
1241,1078,725,1192
1013,946,860,1088
1064,1030,791,1059
1222,1116,825,1145
1130,1075,799,1208
1087,1079,823,1213
1055,1037,777,1133
1323,1126,838,1214
1054,1062,808,1078
1253,1082,780,1189
1174,1042,790,1135
1177,1057,783,1201
1097,1113,967,1132
1096,1070,788,1128
1188,1114,891,1103
1090,1057,708,1130
1164,1161,812,1167
1097,1177,931,1217
1211,1146,849,1138
1218,1124,809,1189
1139,1022,793,1160
885,971,848,1192
1010,1203,733,1146
1039,1097,804,1122
1091,1054,834,1147
1009,1052,887,1272
1128,1157,899,1169
1097,1120,790,1140
997,1060,881,1200
1028,1185,821,1108
1008,1087,820,1150
1099,1061,741,1095
1075,1065,872,1099
950,1017,838,1156
1136,1046,772,1205
903,1145,868,1098
1001,1070,791,1117
1148,1085,797,1170
1045,1032,763,1086
965,996,771,1172
928,1115,777,1167
975,984,880,1066
900,1063,827,1034
908,1088,835,1052
1078,1099,814,1105
1035,1144,875,1120
1039,1005,820,1111
1002,1085,735,1101
910,1027,797,1153
956,1074,793,1059
1031,1073,735,1058
922,1018,816,1066
1009,1053,730,1157
931,1158,830,1073
1044,1100,776,1154
1036,1089,832,1162
980,1110,863,1205
883,1028,811,1169
873,1069,785,1101
967,1091,773,1152
